Question,Option_1,Option_2,Option_3,Option_4,RC,year
26. En un paciente con síndrome nefrótico es posible encontrar una de las si guientes alteraciones plasmáticas en el perfil lipoproteico:,1. Disminución de las lipoproteínas de muy baja densidad (VLDL).,2. Aumento de la apolipoproteína B-100.,3. Aumento de la apolipoproteína A-I.,4. Aumento de la actividad lipoproteínlipasa (LPL).,2,2022
"27. En relación con el metabolismo de compuestos nitrogenados, el músculo esquelético es capaz de:",1. Sintetizar de forma limitada urea en situaciones de disfunción hepática para paliar la toxicidad del amoníaco.,2. Utilizar los alfa-cetoácidos derivados de los aminoácidos ramificados como fuente energética.,"3. Producir alanina por transaminación a partir de piruvato y ácido aspártico, particularmente en determinadas situaciones de ayuno.","4. Elaborar creatina utilizando glicina, ATP y amoníaco para obtener creatin-fosfato como reserva energética y posibilitar su uso durante el ejercicio.",2,2022
28. En la glucogenosis de t ipo Ia (enfermedad de von Gierke) por déficit de glucosa-6-fosfatasa es característico:,1. El aumento de glucógeno muscular.,2. La hipouricemia por reducción en la reabsorción renal de ácido úrico.,3. El aumento del lactato plasmático.,4. La disminución de la síntesis hepática de triglicéridos.,3,2022
"29. En relación con las presiones que ori ginan el movimiento de entrada y salida de aire en los pulmones en una persona sana, señale la afirmación INCORRECTA:",1. La aspiración continua del exceso de líquidos hacia los conductos linfáticos mantiene una ligera presión negativa entre la superficie visceral del pulmón y la superficie pleural parietal de la cavidad torácica.,"2. Durante la inspiración normal, la presión pleural se hace más negativa.","3. Durante la espiración normal, la presión alveolar disminuye con respecto al valor de la presión atmosférica.",4. La presión transpulmonar (presión alveolar menos presión pleural) tiende a colapsar los pulmones durante el ciclo respiratorio completo.,3,2022
30. El flujo sanguíneo tur bulento tiende a aumentar en proporción directa a to dos los siguientes factores EXCEPTO UNO. Señale cuál:,1. Viscosidad de la sangre.,2. Velocidad del flujo sanguíneo.,3. Diámetro del vaso sanguíneo.,4. Densidad de la sangre.,1,2022
"31. En relación con la re gulación del intercambio de líquido y del equilibrio osmótico entre los líquidos intracelular y extracelular en una situación fisiológica, señale la afirmación INCORRECTA:",1. La distribución del líquido entre los compartimentos intracelular y extracelular está determinada sobre todo por el efecto osmótico de los iones más pequeños.,2. Alrededor del 80 % de la osmolaridad total del líquido intersticial y del plasma se debe a los iones sodio y cloro.,3. Alrededor del 50 % de la osmolaridad en el líquido intracelular se debe a los iones calcio.,4. Cambios relativamente pequeños en la concentración de solutos no difusibles en el líquido extracelular pueden causar grandes cambios en el volumen celular.,3,2022
32. Señala la respuesta correcta respecto a la reabsorción renal de sodio:,"1. En el asa ascendente de Henle se reabsorbe sodio, sin reabsorber agua.",2. En el túbulo colector se reabsorbe un 20 % del sodio.,3. La mayor reabsorción de sodio se produce en el túbulo distal.,4. La reabsorción de sodio en el túbulo proximal está mediada por la aldosterona.,1,2022
33. ¿Cómo se denomina el inicio pro gresivamente más precoz y el incremento de la gravedad de las manifestaciones clínicas de una enfermedad a lo largo de las sucesivas generaciones?:,1. Penetrancia variable.,2. Anticipación genética.,3. Anticipación alélica.,4. Penetrancia completa.,2,2022
"34. En relación con el papel de la inmuno globulina A (IgA) en la defensa frente a pató genos, señale la respuesta INCORRECTA:",1. La IgA activa la vía clásica del complemento contribuyendo a la eliminación de bacterias extracelulares.,2. La IgA pasa de la madre al recién nacido durante la lactancia contribuyendo a la protección de las mucosas del neonato.,3. La IgA puede atravesar la barrera epitelial de las mucosas uniéndose al receptor poli-Ig (pIgR) siendo la inmunoglobulina más abundante en las mucosas.,4. El déficit selectivo de IgA es la inmunodeficiencia más frecuente (aproximadamente1:400) y la mayoría de los casos son asintomáticos.,1,2022
35. Entre las nuevas medidas de protección contra el COVID-19 se inclu ye el uso de terapias basadas en anticuerpos monoclonales frente la proteína S (spike) del SARS-CoV-2 (tixagevimab y cilgavimab). Este tratamiento:,1. Es una forma de inmunización activa cuyo resultado depende de la activación de linfocitos memoria.,"2. Está indicado en pacientes inmunodeprimidos, como los pacientes con trasplante de órganos.",3. Confiere protección durante un período de tiempo aproximado de dos años.,4. Induce memoria inmunológica basada en la activación de linfocitos B.,2,2022
