Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
1. La estimulación del Sistema Activador Reticular Ascendente (SARA) provoca:,1.  Hambre.,2.  Desordenes emocionales.,3.  Vigilia.,4.  Sueño REM.,5.  Sueño profundo.,3,2010
2. La insulina inhibe la:,1.  Glucogenosíntesis.,2.  Síntesis de proteínas.,3.  Glucólisis.,4.  Lipólisis.,5.  Na +yK+yATPasa.,4,2010
3. Regula la producción de plaquetas:,1.  Eritropoyetina.,2.  Trombopoyetina.,3.  Factor activador de plaquetas.,4.  Interleucinas.,5.  Factor de células madre.,2,2010
4. Disminuye la excitabilidad del músculo gastrointestinal la:,1.  Distensión.,2.  Estimulación parasimpática.,3.  Gastrina.,4.  Acetilcolina.,5.  Estimulación simpática.,5,2010
5. La glucosa se absorbe fundamentalmente en:,1.  Estómago.,2.  Duodeno y yeyuno.,3.  Ileon terminal.,4.  Colon.,5.  Ileon y colon.,2,2010
6. Estimulan la secreción de la hormona gastrina:,1.  Péptidos y aminoácidos.,2.  Ácido.,3.  Somatostatina.,4.  Secretina.,5.  GIP.,1,2010
7. El páncreas exocrino segrega:,1.  Tripsina.,2.  Enterocinasa.,3.  Somatostatina.,4.  Insulina.,5.  Lipasa.,5,2010
8. La glándula parótida:,1.  Produce saliva serosa.,2.  Es inervada por el vago.,3.  Produce secreción mixta.,4.  Carece de acinos.,5.  Produce secreción hipertónica.,1,2010
9. Aumenta la motilidad gástrica el/la:,1.  Péptido inhibidor gástrico.,2.  Colecistocinina.,3.  Secretina.,4.  Gastrina,5.  VIP.,4,2010
10. Inhibe la secreción gástrica la:,1.  Gastrina.,2.  Histamina.,3.  Somatostatina.,4.  Acetilcolina.,5.  Estimulación vagal.,3,2010
"11. Respecto a la micción, la activación del parasimpático:",1.  Relaja el músculo detrusor.,2.  Contrae el esfínter interno.,3.  Contrae el esfínter externo.,4.  Contrae el músculo detrusor.,5.  Relaja el esfínter externo.,4,2010
12. En condiciones fisiológicas el filtrado glomeru lar:,1.  Es isoosmolar respecto al plasma.,2.  Se origina por transporte activo.,3.  Posee gran cantidad de albúmina.,4.  Contiene sólo agua e iones.,5.  Es hiperosmolar respecto al plasma.,1,2010
13. Disminuye directamente la reabsorción renal de sodio:,1.  ADH.,2.  Vasopresina.,3.  Angiotensina.,4.  Aldosterona.,5.  Factor natriurético.,5,2010
"14. En presencia de ADH, el líquido tubular es hipotónico respecto del pasma en:",1.  El filtrado glomerular.,2.  El túbulo proximal.,3.  La rama ascendente del asa de Henle.,4.  El túbulo colector cortical.,5.  El túbulo colector medular.,3,2010
15. El reflejo de Hering8Breuer se induce por activación de:,1.  Quimiorreceptores pulmonares.,2.  Mecanorreceptores pulmonares.,3.  Quimiorreceptores vasculares.,4.  Quimiorreceptores centrales.,5.  Mecanorreceptores de faringe y laringe.,2,2010
16. El surfactante pulmonar:,1.  Es un glúcido.,2.  Disminuye la tensión superficial en los alvéoy los.,3.  Aumenta la solubilidad del oxígeno.,4.  Aumentar la presión interna alveolar.,5.  Sólo está en los neonatos.,2,2010
17. Disminuye la ventilación alveolar el aumento:,1.  Moderado de la frecuencia respiratoria.,2.  Del volumen corriente.,3.  Del volumen del espacio muerto.,4.  Del flujo sanguíneo.,5.  De la concentración de CO2.,3,2010
18. El volumen de aire presente en el pulmón tras una espiración máxima se denomina:,1.  Volumen residual.,2.  Capacidad residual funcional.,3.  Volumen respiratorio de reserva.,4.  Espacio muerto.,5.  Volumen corriente.,1,2010
"19. De las hormonas tiroideas, se puede afirmar que:",1.  Aumentan la secreción de TSH y TRH.,2.  Se sintetizan a partir de glicina.,3.  Se almacenan en el coloide unidas a tiroglobuy lina.,4.  Reducen el metabolismo basal.,5.  Su síntesis requiere la captación de hierro del plasma.,3,2010
20. Compensa la acidosis respiratoria la:,1.  Hipoventilación.,2.  Hiperventilación.,3.  Reabsorción de protones en el túbulo proxiy mal.,4.  Reabsorción de protones en el túbulo distal.,5.  Reabsorción de bicarbonato en el túbulo dista.,5,2010
21. Tras una hemorragia abundante:,1.  Disminuyen los niveles de ADH.,2.  Disminuyen los niveles de catecolaminas ciry culantes.,3.  Se activa el eje reninayangiotensinayaldosteroy na.,4.  Aumentan los niveles de péptido atrial natriuy rético.,5.  Aumenta el filtrado glomerular.,3,2010
22. El volumen diastólico final es el volumen de sangre que el ventrículo:,1.  Contiene justo antes de su contracción.,2.  Expulsa en cada contracción.,3.  Contiene tras la contracción.,4.  Recibe durante la diástole.,5.  Recibe con la contracción auricular.,1,2010
23. La meseta del potencial de acción tiene máxima duración en:,1.  Nódulo senoauricular.,2.  Nódulo aurículoyventricular.,3.  Miocardio auricular.,4.  Miocardio ventricular.,5.  Es igual en todas las células cardiacas.,4,2010
24. Durante la contracción ventricular isovolumétrica:,1.  La válvula mitral está abierta.,2.  La válvula aórtica está abierta.,3.  La aurícula está en diástole.,4.  La presión en la aorta es inferior a la ventricuy lar.,5.  Aparece la onda T del ECG.,3,2010
