Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
1. Confiere a la membrana plasmática alta pe rmeabilidad al agua:,1. Acuaporinas.,2. Canales iónicos.,3. La Na+/K+-ATPasa.,4. Intercambiador Cl/HCO3.,5. Su composición lípidica.,1,2014
2. El potencial de acción se inicia en la membrana del segmento inicial del axón por:,1. Ser el lugar donde se produce la sinapsis.,2. Tener un umbral de excitación mayor.,3. Presentar alta concentración de canales d ependientes de voltaje.,4. Presentar canales de Na + regulados por liga ndo,5. Empezar allí la vaina de mielina del axón.,3,2014
3. Un potencial receptor:,1. Se produce por la apertura de canales depe ndientes de voltaje.,2. Aumenta su frecuencia si aumenta la intens idad del estímulo.,3. Se produce tras la unión del neurotransmisor al receptor postsinático.,4. Se producen si se supera el umbral de disparo.,5. Puede ser excitador o inhibidor.,5,2014
4. En fibras musculares lisas:,1. La unidad funcional es el sarcómero.,2. La contracción está regulada por troponina.,3. El sistema autónomo siempre inerva todas las fibras.,4. No se forman puentes cruzados actina miosina.,5. Puede haber receptores a hormonas.,5,2014
5. Respecto al reflejo tendinoso de Golgi:,1. Es monosináptico.,2. Los receptores están en serie con las fibras musculares extrafusales.,3. Está mediado por fibras aferentes tipo la y ll.,4. Activa motoneuronas α que inervan el músc ulo en que se localiza el receptor.,5. Es muy sensible a cambios de longitud mu scular.,2,2014
6. En el sistema parasimpático:,1. La neurona preganglionar está en médula espinal torácica.,2. Las neuronas postganglionares tienen axones cortos.,3. Las fibras postganglionare s liberan noradr enalina.,4. Las neuronas postganglionares tiene recept ores muscarínicos.,5. Numerosas neuronas inervan el músculo liso vascular de las extremidades.,2,2014
7. Son mecanorreceptores interoceptores secund arios:,1. El corpúsculo de Pacini y de Ruffini.,2. Los botones gustativos.,3. Los receptores del aparato vestibular.,4. Las células ciliadas del órgano de Corti.,5. Los huesos musculares.,3,2014
8. La discriminación espacial de estímulos táctiles:,1. Aumenta con el tamaño de los campos rece ptores.,2. Aumenta si la convergencia de las vías af erentes es grande.,3. Aumenta si hay inhibición lateral,4. Es independiente de la densidad de inerv ación.,5. Depende sólo del tipo de receptor activado.,3,2014
9. La vía óptica decusa parcialmente en:,1. La cintilla óptica.,2. El cuerpo geniculado.,3. El quiasma óptico.,4. La retina.,5. El disco óptico.,3,2014
10. En el ojo humano:,1. Los fotorreceptores contactan con el humor vítreo.,2. La acomodación se debe al aumento de la curvatura de la córnea.,3. El epitelio pigmentario participa en la regen eración de la rodopsina.,4. Los conos y los bastones se distribuyen h omogéneamente en toda la retina.,5. El mayor poder de refracción está en el crist alino.,3,2014
