Question,Option_1,Option_2,Option_3,Option_4,RC,year
1. La barrera hematoencefálica:,1. Es permeable a todas las sustancias presentes en el plasma.,2. Es permeable al O2 y al CO2.,3. Es impermeable al etanol.,4. Es impermeable al agua.,2,2024
2. El espacio subaracnoideo se encuentra:,1. Entre la aracnoides y la duramadre.,2. Entre la aracnoides y la piamadre.,3. Lleno de sangre.,4. En el sistema nervioso periférico.,2,2024
3. La endolinfa:,1. Rellena el laberinto óseo del oído interno.,2. Contiene baja concentración de K+.,3. Rellena el laberinto membranoso del oído interno.,4. Contiene alta concentración de Na+.,3,2024
4. Las células olfatorias humanas:,1. Son células nerviosas bipolares.,2. Son células nerviosas multipolares.,3. Son células nerviosas unipolares.,4. Son células epiteliales.,1,2024
5. La esclerosis múltiple es una patología que se caracteriza por:,1. Hipermielinización de los axones con pérdida del control motor y déficit sensitivos.,2. Desmielinización de los axones con pérdida del control motor y déficit sensitivos.,3. Incremento en la resistencia eléctrica axonal.,4. Reducción en la capacitancia axonal.,2,2024
6. ¿La hormona oxitocina es?:,1. Un péptido.,2. Una amina.,3. Un esteroide.,4. Un glúcido.,1,2024
"7. De las siguientes moléculas, ¿cuál actúa como señal anorexigénica?:",1. Neuropéptido Y.,2. Grelina.,3. Leptina.,4. Proteína relacionada con agutí (AGRP).,3,2024
8. La insulina:,1. Aumenta la lipolisis.,2. Disminuye la síntesis de proteínas.,3. Disminuye la formación de glucógeno.,4. Disminuye la gluconeogénesis.,4,2024
9. La secreción de glucagón es inhibida por:,1. Somatostatina.,2. Aumento de aminoácidos en sangre.,3. Disminución de glucosa en sangre.,4. Ejercicio físico.,1,2024
10. En la homeostasis del calcio y el fosfato interaccionan estrechamente dos hormonas:,1. Cortisol y vasopresina.,2. Hormona estimulante del tiroides y aldosterona.,3. Hormona paratiroidea y vitamina D.,4. Hormona antidiurética y calcitonina.,3,2024
11. La gonadotropina coriónica:,1. Es un esteroide.,2. Se secreta por la corteza suprarrenal fetal.,3. Estimula la secreción de progesterona y estrógenos.,4. Comienza a ser secretada tras la involución del cuerpo lúteo.,3,2024
"12. En la fase de despolarización rápida (fase0) del potencial de acción cardíaco, el principal ion que entra a la célula es:",1. Ca2+.,2. K+.,3. Na+.,4. Mg2+.,3,2024
13. ¿Cuál es la secuencia correcta del potencial de acción en el corazón?:,1. Nodo sinoauricular → Haz de His → Nodo auriculoventricular → Fibras de  Purkinje.,2. Nodo sinoauricular → Nodo auriculoventricular → Haz de His → Fibras de Purkinje.,3. Nodo auriculoventricular → Nodo sinoauricular → Haz de His → Fibras de Purkinje.,4. Nodo sinoauricular → Fibras de Purkinje → Haz de His → Nodo auriculoventricular.,2,2024
14. ¿Qué parte del sistema cardiovascular tiene la mayor capacidad de almacenar sangre?:,1. Arteriolas.,2. Capilares.,3. Arterias.,4. Venas.,4,2024
15. ¿Qué genera la onda 'a' en el registro del pulso venoso?:,1. Contracción auricular.,2. Contracción ventricular.,3. Cierre válvula mitral.,4. Cierre válvula tricúspide.,1,2024
16. La hormona liberadora de gonadotropinas (GnRH) es:,1. Una amina de bajo peso molecular.,2. Secretada en la neurohipófisis.,3. Estimuladora de  la secreción de la hormona luteinizante (LH).,4. Secretada en un único pico diario.,3,2024
