Question,Option_1,Option_2,Option_3,Option_4,RC,year
17. La anfotericina B es un antifúngico que pertenece al siguiente grupo:,1. Polienos.,2. Triazoles.,3. Candinas.,4. Sulfamidas.,1,2021
18. Respecto a los hongos Mucorales:,1. Son sensibles a voriconazol.,2. Causan infecciones diagnosticables mediante la detección de β-1-3-D-glucano.,"3. Causan infección sinusal, rino-órbitocerebral, broncopulmona r, cutánea o diseminada.",4. Tienen afinidad por tejidos queratinizados.,3,2021
19. ¿Qué mecanismo es responsable de la resistencia a las quinolonas?:,1. Presencia de mutaciones cromosómicas en los genes de la ADN girasa y de la topoisomerasa de tipo IV.,2. Modificación enzimática de la quinolona mediada por acetiltransferasas.,3. Adquisición de una β-lactamasa que hidroliza al fármaco.,"4. Metilación del ARNr 23S, impidiendo la unión del antibiótico.",1,2021
20. ¿Cuál de los siguientes enunciados respecto a la toxina leucocidina Panton-Valentine de Staphylococcus aureus es INCORRECTO?:,1. Se identifica en la mayoría de cepas de S. aureus resistentes a meticilina asociadas a infecciones comunitarias.,2. Es causante de cuadros cutáneos graves.,3. Es una citotoxina.,4. Se relaciona con intoxicaciones alimentarias.,4,2021
21. ¿Cuál es la respuesta correcta respecto a Staphylococcus saprophyticus?:,1. Produce infecciones del aparato genitourinario en mujeres jóvenes.,2. Es sensible a fosfomicina.,3. Es sensible a novobiocina.,4. Es un estafilococo coagulasa-positivo.,1,2021
"22. ¿Cuál de las siguientes bacterias es un bacilo gram-negativo que NO crece en agar MacConkey, es oxidasa positiva y está implicada en infecciones de heridas tras mordedura de animales?:",1. Pasteurella multocida.,2. Francisella tularensis.,3. Neisseria gonorrhoeae.,4. Enterobacter cloacae.,1,2021
23. ¿Cuál es la respuesta INCORRECTA respecto a las infecciones causadas por Legionella pneumophila?:,1. Son asintomáticas con relativa frecuencia.,2. La infección sintomática se presenta en una de las siguientes formas: fiebre de Pontiac o enfermedad de los legionarios.,3. El tratamiento de elección son los macrólidos o las fluoroquinolonas.,4. La fiebre de Pontiac se asocia con enfermedad pulmonar de base.,4,2021
24. ¿Cuál de las siguientes bacterias NO pertenece al denominado grupo HACEK?:,1. Achromobacter xylosoxidans.,2. Cardiobacterium hominis.,3. Kingella kingae.,4. Eikenella corrodens.,1,2021
25. ¿Cuál de las siguientes características fenotípicas supone una identificación presuntiva de Streptococcus pneumoniae?:,"1. β-Hemólisis en agar sa ngre, sensibilidad a la optoquina, prueba de solubilidad en bilis positiva.","2. β-Hemólisis en agar sangre, resistencia a la optoquina, prueba de solubilidad en bilis negativa.","3. α-Hemólisis en agar sangre, sensibilidad a la optoquina, prueba de solubilidad en bilis positiva.","4. α-Hemólisis en agar sangre, resistencia a la optoquina, prueba de solubilidad en bilis positiva.",3,2021
26. Avibactam es un inhibidor de β-lactamasas con la EXCEPCIÓN de:,1. β-Lactamasa de espectro extendido (BLEE).,2. β-Lactamasa de clase C (ampC).,3. Carbapenemasa de tipo metalobetalactamasa.,4. Carbapenemasa de clase D (OXA-48).,3,2021
"27. Señale la opción correcta respecto a microorganismo, enfermedad que causa y vector transmisor:","1. Coxiella burnetii, Fiebre Q, Ixodes spp.","2. Bartonella bacilliformis , Fiebre de Oroya, Hyalomma spp.","3. Borrelia burgdorferi , Enfermedad de Lyme, Aedes spp.","4. Rickettsia conorii , Fiebre botonosa mediterránea, Rhipicephalus spp.",4,2021
28. ¿Cuál de las siguientes afirmaciones respecto a la peste es correcta?:,1. El microorganismo causal de la peste bubónica es Yersinia enterocolitica serotipo O3.,2. Se transmite desde las ratas a los humanos mediante la picadura de pulgas del género Xenopsylla.,3. El periodo de incubación es de 30 a 60 días.,"4. Sólo debe administrarse tratamiento en pacientes inmunodeprimidos, siendo vancomicina intravenosa el fármaco de elección.",2,2021
29. ¿Cuál de las siguientes opciones es INCORRECTA sobre la enfermedad zoonótica tularemia?:,1. El diagnóstico de laboratorio se basa principalmente en el cultivo y frotis de lesiones.,2. Los lagomorfos y los roedores son importantes reservorios animales.,"3. Está causada por Francisella tularensis , cocobacilo gramnegativo.","4. Estreptomicina y gentamicina son fármacos de elección para todas las formas de tularemia grave, excepto meningitis.",1,2021
30. ¿Cuál de las siguientes afirmaciones con respecto a la “fiebre Q” es INCORRECTA?:,"1. Se presenta como enfermedad febril autolimitada, neumonía, endocarditis o hepatitis.",2. El tratamiento de la endocarditis debe hacerse con doxiciclina durante 14 días.,"3. Es una zoonosis que se adquiere por inhalación o, con menos frecuencia, por ingestión de leche no pasteurizada.","4. Para el diagnóstico de “fiebre Q” aguda se pueden utilizar técnicas de amplificación de ácidos nucleicos a partir de muestras clínicas (sangre, válvulas cardíacas o líquido articular).",2,2021
31. La colistina es un antibiótico de la familia de las polimixinas. ¿Cuál de las siguientes características es correcta?:,1. Las únicas formulaciones disponibles se administran por vía intravenosa y vía tópica.,"2. Las polimixinas son activas frente a bacilos gramnegativos como P. aeruginosa, A. baumannii y las especies de Proteus.","3. Entre los efectos secundarios más frecuentes destacan la hepatotoxici dad y la neurotoxicidad irreversible, relacionada con la dosis.",4. La resistencia mediada por plásmidos se debe a la enzima MCR-1.,4,2021
32. ¿Cuál de los siguientes fármacos NO se utiliza para el tratamiento de la infección causada por Clostridioides difficile o presencia de sus recurrencias?:,1. Fidaxomicina.,2. Vancomicina vía oral.,3. Clindamicina.,4. Bezlotoxumab.,3,2021
33. ¿Cuál es el medio de cultivo microbiológico habitual para el diagnóstico de “tos ferina” a partir de muestras respiratorias?:,1. Bordet-Gengou.,2. Löwenstein-Jensen.,3. BCYE.,4. Thayer-Martin.,1,2021
34. ¿Cuál de las siguientes afirmaciones sobre Haemophilus influenzae es INCORRECTA?:,1. Es un cocobacilo gramnegativo.,2. Crece en agar MacConkey.,3. Existen seis serotipos capsulares.,4. El mecanismo de resistencia a las penicilinas más frecuente es la producción de βlactamasas.,2,2021
35. Una paciente de 48 años acude al Servicio de Urgencias de su hospital por presentar un cuadro de fiebre y dolor en hipocondrio derecho. Refiere consumo de verdura cruda en el Altiplano boliviano en su último viaje. ¿Qué patología es compatible con este cuadro clínico?:,1. Hidatidosis alveolar.,2. Distomatosis hepática.,3. Linfangitis aguda.,4. Clonorquiasis.,2,2021
36. ¿Cuál de los siguientes enunciados es INCORRECTO en relación al Síndrome de Katayama?:,1. Es un cuadro clínico causado por Schistosoma spp.,"2. Sus manifestaciones clínicas más frecuentes son fiebre, erupción, hepatoesplenomegalia, broncoespasmo y eosinofilia.",3. La detección de huevos del parásito en heces es una herramienta diagnóstica muy sensible en la fase aguda.,4. Para su tratamiento se emplean prazicuantel y corticoides.,3,2021
37. ¿Cuál de los siguientes parásitos es de relevancia epidemiológica por su alta prevalencia entre la población infantil y causa una Enfermedad de Declaración Obligatoria?:,1. Entamoeba coli.,2. Trichinella spiralis.,3. Echinococcus granulosus.,4. Giardia lamblia.,4,2021
38. ¿Para qué sirve el planteamiento matemático de Heckel?:,1. Para analizar el comportamiento de materiales sólidos durante el proceso de compresión.,2. Para determinar la distribución bicompartimental para fármacos poco solubles.,3. Para determinar la vi scosidad aparente en semisólidos con propiedades reopécticas.,4. Para calcular la velocidad de disolución en función del tamaño de partícula y del área superficial.,1,2021
