Question,Option_1,Option_2,Option_3,Option_4,RC,year
71. Las inmunoglobulinas o anticuerpos:,1. Son proteínas solubles que constituyen la base proteica de la respuesta hormonal.,2. Son proteínas solubles que constituyen la base proteica de la respuesta inmune.,3. Son proteínas globulares pequeñas y solubles.,4. Una de las más importantes es la Hemoglobina.,2,2019
72. ¿Cuál de las siguientes afirmaciones es cierta para la proteína quinasa activada por AMP (AMPK)?:,1. Se activa cuando la carga energética de las células es baja.,2. Se activa con una relación AMP: ATP baja.,"3. Activa rutas como la síntesis de ácidos grasos, triacilgliceroles y colesterol.",4. Fosforila sustratos para inhibir la captación de glucosa.,1,2019
"73. La fenilcetonuria, la causa más frecuente de elevación en plasma de fenilalanina, se produce por un defecto en la actividad de la enzima:",1. Cistationina beta-sintasa.,2. Arginasa.,3. Fenilalanina hidroxilasa.,4. Tirosina aminotransferasa.,3,2019
74. ¿Con qué tipo de lipoproteínas se relaciona el transporte inverso de colesterol?:,1. HDL.,2. LDL.,3. VLDL:,4. Quilomicrones.,1,2019
75. La molécula de DNA mitocondrial es:,"1. Circular, de cadena simple.","2. Circular, de cadena doble.","3. Lineal, de cadena simple.","4. Lineal, de cadena doble.",2,2019
"76. En una proteína conjugada, el grupo prostético:",1. Es una región globular.,2. Es una subunidad diferente de las demás.,3. Es una parte de la proteína que no está compuesta por aminoácidos.,4. Está unido por puentes de hidrógeno.,3,2019
77. La enzima reguladora de la biosíntesis del colesterol es:,1. Colesterol esterasa.,2. Cetotiolasa.,3. Fosfolipasa C.,4. 3-Hidroxi 3-metilglutaril-CoA reductasa.,4,2019
78. ¿Qué caracteriza a la enzima lactato deshidrogenasa en la fermentación láctica?:,1. Liberar CO2.,2. Consumir NADH.,3. Tener como sustrato acetil CoA.,4. Permitir que continúe la glucolisis aerobia.,2,2019
79. ¿Cuál de las siguientes enzimas tiene como función in vivo catalizar la replicación del DNA mitocondrial en las células eucariotas?:,1. DNA polimerasa α.,2. DNA polimerasa β.,3. DNA polimerasa γ.,4. DNA polimerasa δ.,3,2019
80. ¿Cuál de estas afirmaciones sobre la estructura secundaria de proteínas en hélice  es correcta?:,1. Cada vuelta de la hélice contiene 3.6 residuos de aminoácido.,2. Puede ser paralela o antiparalela.,3. Puede acomodar cualquier tipo de aminoácido con la misma probabilidad.,"4. En esta estructura secundaria, las cadenas laterales de los aminoácidos se hallan dirigidas hacia su interior.",1,2019
81. ¿Cuál de las siguientes afirmaciones acerca de los cuerpos cetónicos es cierta?:,1. Se producen en el músculo y son utilizados en el hígado.,2. En la diabetes sin tratar se inhibe su producción.,3. Se eleva su producción después de la ingesta en individuos sanos.,4. El cerebro los utiliza como combustible en periodos de ayuno largos.,4,2019
82. El punto isoeléctrico o pH isoeléctrico (pl) de un aminoácido es el pH característico en el que:,1. Tiene carga neta positiva.,2. Su carga neta es negativa.,3. La carga neta es cero.,4. Es más hidrofóbico.,3,2019
83. Las concentraciones elevadas de citrato reducen la actividad de:,1. La ruta de las pentosas-fosfato.,2. La glucólisis.,3. La gluconeogénesis.,4. La síntesis de ácidos grasos.,2,2019
84. Los itrones son:,1. Secuencias de DNA que no se transcriben a RNA.,2. Secuencias contenidas en el RNA que actúan como promotoras de la expresión génica.,3. Secuencias del DNA que codifican los aminoácidos de las regiones internas de las proteínas.,4. Los fragmentos que son eliminados durante el proceso de maduración del RNA mensajero.,0,2019
85. La hemoglobina y la mioglobina:,1. Poseen la misma afinidad por el O2.,2. Son proteínas alostéricas.,3. Unen O2 al Fe de sus heminas.,4. Carecen de grupo prostético.,0,2019
86. ¿Cuál de los siguientes nutrientes es un precursor de un cofactor que transporta grupos de un carbono con diferentes estados de oxidación?:,1. Metionina.,2. Ácido fólico.,3. Tiamina.,4. Biotina.,2,2019
"87. En el síndrome de Lesch-Nyhan, el defecto en la actividad de la enzima hipoxantina guanina fosforribosiltransferasa lleva a la acumulación de:",1. Ácido Úrico.,2. Urea.,3. Tetrahidrofolato.,4. Citidina.,1,2019
88. La glucogenolisis muscular no aporta directamente glucosa a la sangre debido a que el músculo carece de la enzima:,1. Fosforilasa.,2. Fosfoglucomutasa.,3. Glucosa-6-fosfatasa.,4. Fosfoglucoisomerasa.,3,2019
"89. Con respecto a la estructura de los ácidos nucleicos, indique cuál de las siguientes afirmaciones es FALSA:",1. Los monómeros del polímero de una hebra sencilla de DNA son 4 desoxirribonucleicos trifosfato.,2. Un solenoide es una ordenación helicoidal de nucleosomas.,"3. El componente proteico de la cromatina está constituido por 5 histonas diferentes: H1, H2A, H2B, H3 y H4.","4. Un nucleosoma está constituido por 4 copias de cada histona H2A, H2B, H3 y H4.",0,2019
90. La estructura terciaria de un polipéptido describe:,1. La estructura tridimensional completa de la cadena polipeptídica.,2. Todos los aspectos del plegamiento bidimensional del polipéptido.,3. El número y situación de los puentes disulfuro presentes en un polipéptido.,4. La relación estructural entre las subunidades de una proteína.,1,2019
91. Respecto a la hemoglobina:,1. Su curva de disociación del O2 es hiperbólica.,2. El pH intracelular no influye en la unión de O2.,"3. El 2,3 bisfosfoglicerato reduce su afinidad por el O2.",4. La hemoglobina S es la forma presente en la raza caucásica.,3,2019
"92. El porcentaje de Adenina (A) en el DNA de un cromosoma bacteriano es del 22%; ello implica que los porcentajes de Guanina (G), Timina (T) y Citosina (C) son:",1. G = 30%; T = 22%; C = 26%.,2. G= 28%; T = 28%; C = 22%.,3. G = 22%; T = 28%; C = 28%.,4. G = 28%; T = 22%; C = 28%.,4,2019
93. La desnaturalización térmica del DNA da lugar a:,1. Un efecto hipocrómico.,2. La rotura de enlaces glicosídicos dando un efecto hipercrómico.,3. Una temperatura de fusión que depende del contenido de bases.,4. La rotura de los enlaces fosfodiester dando un efecto hipercrómico.,3,2019
