Question,Option_1,Option_2,Option_3,Option_4,RC,year
"1. En el sistema nervioso  central, la mielina que recubre los axones es proporcionada por:",1. Las células de Schwann.,2. Los astrocitos.,3. La microglía.,4. Los oligodendrocitos.,4,2022
2. El tamaño de los pote nciales electrotónicos:,1. Aumenta exponencialmente con la distancia al punto de generación.,2. Disminuye exponencialmente con la distancia al punto de generación.,3. Cambia de forma lineal con la distancia al punto de generación.,4. No se modifica con la distancia al punto de generación.,2,2022
3. El reflejo flexor:,1. Conlleva inhibición recíproca de los extensores homolaterales.,2. Es un reflejo monosináptico.,3. Se produce en respuesta al estiramiento del músculo.,4. Es desencadenado por el órgano tendinoso de Golgi.,1,2022
"4. A medida que progresa la profundidad del sueño no-REM, la actividad electroencefalográfica se va haciendo:",1. De menor amplitud y mayor frecuencia.,2. De mayor amplitud y menor frecuencia.,3. De mayor amplitud y mayor frecuencia.,4. De menor amplitud y menor frecuencia.,2,2022
5. Los sistemas sensoriales codifican la intensidad de un estímulo en función de:,1. La amplitud de los potenciales de acción.,2. La frecuencia de los potenciales de acción.,3. El grado de adaptación del receptor.,4. La duración de los potenciales de acción.,2,2022
6. El radioinmunoanálisis (RIA) aplicado a la determinación hormonal:,1. Utiliza marcadores fluorescentes para medir las concentraciones de las hormonas.,2. Necesita anticuerpos que unan la hormona a medir.,3. Determina cantidades de hormona siempre que sean superiores a 1 microgramo/decilitro.,4. No es cuantitativo.,2,2022
7. ¿Cuál de las siguientes hormonas llega a la hipófisis a través de los vasos porta hipotálamohipofisarios?:,1. Hormona estimulante del folículo (FSH).,2. Hormona de crecimiento (GH).,3. Hormona adrenocorticotropa (ACTH).,4. Hormona liberadora de tirotropina (TRH).,4,2022
8. Sobre el mecanismo de la secreción de insulina en las células beta del páncreas:,1. El aumento de AMPc abre un canal de Ca2+.,2. El aumento de ATP cierra un canal de K+.,3. El aumento de AMPc abre un canal de K+.,4. El aumento de ATP cierra un canal de Na+.,2,2022
9. Las hormonas tiroideas:,1. Disminuyen el gasto cardiaco.,2. Disminuyen la lipolisis.,3. Aumentan la síntesis de nuevas proteínas.,4. Inducen el aumento de peso corporal.,3,2022
10. ¿Qué molécula es la precursora de la síntesis de cortisol en la corteza suprarrenal?:,1. Aldosterona.,2. Testosterona.,3. Colesterol.,4. Corticosterona.,3,2022
11. Durante la primera fase de despolarización del potencial de acción cardiaco ventricular:,1. Se abren los canales de Na+.,2. Se abren los canales de Ca2+.,3. Se abren los canales de Cl-.,4. Se abren los canales de K+.,1,2022
12. El retraso aurículo-vent ricular en el sistema de conducción de la señal eléctrica en el corazón:,1. Permite que se complete la contracción de los ventrículos antes de la apertura de las válvulas semilunares.,2. Permite que se vacíen los ventrículos antes de que se llenen las aurículas.,3. Permite que se contraigan totalmente las aurículas antes de que se contraigan los ventrículos.,4. Es un fenómeno patológico que sólo se produce cuando aparecen anomalías en los marcapasos.,3,2022
13. ¿Cuál de las siguientes fases del ciclo cardíaco se inicia después del cierre de las válvulas semilunares?:,1. Contracción ventricular isovolumétrica.,2. Relajación ventricular isovolumétrica.,3. Llenado auricular.,4. Vaciado ventricular.,2,2022
14. El movimiento de líquido desde los capilares hacia el intersticio se denomina:,1. Filtración.,2. Absorción.,3. Presión coloidosmótica.,4. Difusión.,1,2022
15. ¿Qué nervio transporta la información procedente de los barorreceptores del seno carotideo al tronco del encéfalo?:,1. Vago.,2. Glosofaríngeo.,3. Hipogloso.,4. Frénico.,2,2022
"16. En el ciclo menstrual , el pico de hormona luteinizante (LH) promueve la:",1. Menstruación.,2. Proliferación endometrial.,3. Ovulación.,4. Atresia de folículos primordiales.,3,2022
17. La dihidrotestosterona es:,1. La precursora de la testosterona.,2. Hidrosoluble.,3. Más potente que la testosterona.,4. Un catabolito inactivo de la testosterona.,3,2022
18. La inhibina:,1. Es un esteroide ovárico.,2. Estimula la secreción de FSH.,3. Se secreta por las células de Leydig.,4. Se secreta por las células de la granulosa.,4,2022
19. Las contracciones de parto disminuyen por:,1. Oxitocina.,2. Prostaglandinas.,3. Distensión del cuello uterino.,4. Progesterona.,4,2022
