Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
1. El movimiento de rotación es detectado por el:,1. Utrículo.,2. Sáculo.,3. Canales semicirculares.,4. Órgano de Corti.,5. Otolitos.,3,2007
2. El órgano tendinoso de Golgi es el receptor del reflejo:,1. Flexor de retirada.,2. Miotático.,3. Miotático inverso.,4. Vestibular ocular.,5. Extensor cruzado.,3,2007
3. El dolor referido se produce por:,1. Liberación de opiáceos endógenos.,2. Activación de motoneuronas.,3. Convergencia de vías nociceptivas.,4. Lesión simultánea en vísceras y superficie corporal.,5. Déficit de mielina.,3,2007
4. Los conos de la retina:,1. Intervienen en la acomodación ocular.,2. Contienen rodopsina.,3. Funcionan mejor en la oscuridad.,4. Contienen un solo tipo de pigmento visual.,5. Son imprescindibles para la visión en color.,5,2007
5. El mecanismo de acomodación ocular:,1. Depende de la densidad de bastones.,2. Sólo depende de la curvatura de la córnea.,3. Funciona mejor en la oscuridad.,4. Sirve para adaptarse a la oscuridad.,5. Es el proceso por el cual el cristalino adquiere una forma más redondeada.,5,2007
6. Las células ciliadas del oído interno:,1. Están fuera de la coclea o caracol.,2. Tienen microvellosidades.,3. Son receptores primarios.,4. Están en el oído medio.,5. Se localizan en el órgano de Corti.,5,2007
7. El huso muscular:,1. Es un exteroceptor.,2. Informa sobre la longitud del músculo.,3. Se activa con la contracción muscular.,4. Carece de inervación motora.,5. Se localiza en los tendones.,2,2007
8. La leptina:,1. La segrega el tejido adiposo.,2. Estimula el centro del hambre.,3. Inhibe la termogénesis.,4. Su secreción es inhibida por la insulina.,5. Aumenta de forma aguda tras la ingesta.,1,2007
9. Inhibe la producción de cortisol:,1. La corticotropina o ACTH.,2. El ayuno.,3. La aldosterona.,4. La hiperglucemia.,5. El estrés.,4,2007
10. Las hormonas tiroideas:,1. Inhiben el consumo de oxígeno en las células del organismo.,2. Disminuyen el gasto cardiaco.,3. Refuerzan las respuestas cardiovasculares a las catecolaminas.,4. Disminuyen la temperatura corporal.,5. No intervienen en los procesos de crecimiento corporal.,3,2007
11. La insulina:,1. La producen las células alfa.,2. Es catabólica.,3. Es lipolítica.,4. Es un esteroide.,5. Disminuye la glucemia.,5,2007
12. En relación al metabolismo óseo:,1. La hormona paratiroidea es hipocalcemiante.,2. La calcitonina es hipercalcemiante.,3. Los osteoblastos son las células responsables de la resorción ósea.,4. Las células formadoras de hueso son los osteoclastos.,5. La vitamina D estimula la absorción intestinal de calcio.,5,2007
13. El calcitriol:,1. Es una hormona gastrointestinal.,2. Estimula la síntesis de calcio.,3. Favorece la absorción intestinal de calcio.,4. Es una hormona hipocalcemiante.,5. Es una hormona peptídica.,3,2007
14. Si una sustancia aparece en la arteria renal pero no en la vena renal:,1. Su aclaración es igual a la velocidad de filtración glomerular.,2. Es reabsorbida por el riñón.,3. Su concentración en orina será inferior que en plasma.,4. Su aclaración es igual al flujo plasmático renal.,5. No es segregada por el riñón.,4,2007
15. El aclaramiento plasmático de la hemoglobina es cero porque:,1. No se filtra.,2. Se filtra y se reabsorbe totalmente.,3. Se filtra y se reabsorbe parcialmente.,4. Se filtra y se segrega totalmente.,5. Se filtra y se segrera parcialmente.,1,2007
16. El aparato yuxtaglomerular:,1. Lo forman los podocitos.,2. Es independiente de la mácula densa.,3. Está situado en el túbulo colector.,4. Carece de células mesangiales.,5. Origina un mecanismo de retroalimentación tubuloglomerular.,5,2007
"17. En condiciones fisiológicas normales, la orina:",1. Contiene cantidades notables de proteínas.,2. Carece de sodio.,3. Contiene grandes cantidades de leucocitos.,4. Carece de urea.,5. Contiene cantidades indetectables de glucosa.,5,2007
