Question,Option_1,Option_2,Option_3,Option_4,RC,year
19. ¿Cuál es la respuesta correcta respecto al microorganismo Hafnia alvei?:,1. Es una enterobacteria.,2. Es un bacilo gramnegativo no fermentador.,3. Es una espiroqueta.,4. Es una bacteria intracelular.,1,2022
20. ¿Cuál es la respuesta INCORRECTA respecto al virus de la parotiditis?:,1. Pertenece a la familia Paramyxoviridae.,2. El único hospedador es el ser humano.,3. Puede producir epidídimo-orquitis.,4. Es un virus ARN monocatenario con simetría icosaédrica.,4,2022
21. ¿Cuál de las siguientes respuestas es correcta respecto al virus SARS-CoV-2?:,1. Es un virus ARN bicatenario de simetría helicoidal.,2. Reconoce el receptor humano ACE2 (enzima convertidora de angiotensina 2).,3. El gen estructural S es idéntico al del virus SARS-CoV-1.,4. Pertenece a la familia Orthomyxoviridae.,2,2022
22. ¿Por qué es difícil el aislamiento microbiológico de Francisella tularensis?:,1. Solo crece en anaerobiosis tras una incubación prolongada.,2. Necesita medios de cultivo enriquecidos con cisteína y una incubación prolongada.,3. Necesita medios de cultivo enriquecidos con carbón vegetal y una incubación prolongada.,4. Necesita sistemas de cultivo celulares y una incubación prolongada.,2,2022
23. ¿Cuál de las siguientes afirmaciones es INCORRECTA respecto al género Bartonella?:,1. Son pequeños cocobacilos o bacilos gramnegativos con requerimientos de crecimiento exigentes.,2. Bartonella bacilliformis es responsable de la enfermedad de Carrión.,3. Bartonella quintana se transmite de persona a persona a través de los piojos.,4. Bartonella henselae se transmite a través de las moscas de la arena.,4,2022
24. Señale cuál de las siguientes afirmaciones sobre Campylobacter jejuni es INCORRECTA:,1. Es un bacilo gramnegativo curvo.,2. Gran parte de las infecciones que produce están relacionadas con el consumo de pollo.,3. Para su aislamiento a partir de heces se requiere la incubación con atmósfera de microaerofilia.,4. Es resistente a los macrólidos.,4,2022
25. ¿Cuál de los siguientes microorganismos es grampositivo?:,1. Listeria monocytogenes.,2. Bordetella pertussis.,3. Francisella tularensis.,4. Helicobacter pylori.,1,2022
26. Señale la respuesta correcta sobre el género Mycobacterium:,1. Mycobacterium chelonae es una micobacteria de crecimiento lento.,2. Mycobacterium kansasii es una micobacteria no cromógena.,3. Mycobacterium tuberculosis  da positiva la prueba de niacina.,4. Mycobacterium bovis  es sensible a pirazinamida.,3,2022
27. Las micosis sistémica s endémicas son aquellas causadas por:,1. Dermatofitos.,2. Hongos dimórficos.,3. Mucorales.,4. Hongos hialinos.,2,2022
28. Señale cuál de los siguientes microorganismos presenta resistencia int rínseca de bajo nivel a vancomicina:,1. Enterococcus casseliflavus.,2. Abiotrophia defectiva.,3. Streptococcus gallolyticus.,4. Gemella haemolysans.,1,2022
"29. En el cultivo de un aspirado bronquial, tras 24 horas de incubación a 37 ºC, se observa crecimiento en agar MacConkey. Las colonias son oxidasa positiva y presentan pigmento verde. ¿Cuál sería la identificación presuntiva?:",1. Staphylococcus aureus.,2. Escherichia coli.,3. Pseudomonas aeruginosa.,4. Acinetobacter baumannii.,3,2022
30. ¿Qué microorganismo es el principal agente causal de infección de tracto urinario en población general?:,1. Staphylococcus saprophyticus.,2. Escherichia coli.,3. Pseudomonas aeruginosa.,4. Proteus mirabilis.,2,2022
31. ¿Cuál de los siguientes fármacos NO se utiliza en el tratamiento de la tuberculosis?:,1. Amikacina.,2. Bedaquilina.,3. Vancomicina.,4. Isoniazida.,3,2022
32. Señale la relación INCORRECTA entre antibiótico y mecanismo de acción:,1. Ciprofloxacino – inhibición de la síntesis de la pared bacteriana.,2. Colistina – acción sobre el lipopolisacárido de la membrana bacteriana.,3. Vancomicina – bloqueo de la transglucosilación en la síntesis del peptidoglicano.,4. Gentamicina – alteración de la síntesis proteica.,1,2022
33. ¿Cuál de los siguientes antibióticos NO es activo frente a bacterias grampositivas?:,1. Daptomicina.,2. Linezolid.,3. Dalbavancina.,4. Colistina.,4,2022
34. En la tinción de Gram de un exudado uretral se observan diplococos gramnegativos intracelulares y un predominio de leucocitos polimorfonucleares. ¿Qué microorganismo cuenta con un alto grado de sospecha?:,1. Mycoplasma genitalium.,2. Chlamydia trachomatis.,3. Neisseria gonorrhoeae.,4. Haemophilus ducreyi.,3,2022
35. ¿Cuál de los siguientes antibióticos sería adecuado para tratar una infección causada por Klebsiella pneumoniae productora de βlactamasa de espectro extendido (BLEE)?:,1. Ertapenem.,2. Amoxicilina.,3. Cefotaxima.,4. Aztreonam.,1,2022
36. ¿Cuál de las siguientes NO es una forma de tularemia?:,1. Enfermedad pulmonar.,2. Enfermedad ulceroglandular.,3. Enfermedad oculoganglionar.,4. Enfermedad de Brill-Zinsser.,4,2022
37. ¿Cuál de los siguientes microorganismos es un patógeno humano estricto?:,1. Shigella dysenteriae.,2. Yersinia pestis.,3. Campylobacter jejuni.,4. Francisella tularensis.,1,2022
38. ¿Qué parásito se distribuye mayoritariamente en Estados Unidos?:,1. Babesia microti.,2. Clonorchis sinensis.,3. Diphyllobothrium latum.,4. Acanthotrema felis.,1,2022
39. ¿Qué afirmación es cierta en relación al ciclo biológico de Trichuris trichura?:,1. Los huevos embrionados se excretan en las heces.,"2. Después de la ingesta, los huevos eclosionan en el intestino grueso.",3. Las larvas maduran en adultos y se establecen en el intestino delgado.,4. Los gusanos adultos viven en el ciego.,4,2022
"40. Una niña de 5 años natural de Ecuador presenta epigastralgias, falta de apetito, y déficit de desarrollo corporal. En el examen parasitológico de las heces se observa la presencia de un huevo ovalado de 45 x 38 µm, que contiene un embrión hexacanto y 4 filamentos polares entre las dos membranas. ¿A qué parásito corresponde la descripción?:",1. Taenia saginata.,2. Hymenolepis nana.,3. Hymenolepis diminuta.,4. Dipylidium caninum.,2,2022
41. El planteamiento matemático de Arrhenius dentro del campo del desarrollo farmacéuticosirve para estimar:,1. La velocidad de degradación de un fármaco a diferentes temperaturas a partir de la temperatura cinética media.,"2. La solubilidad real de un fármaco a partir de su solubilidad ideal, según los valores de entalpía de disolución.","3. La velocidad de disolución de un fármaco a diferentes temperaturas, según los valores de entalpía de fusión.",4. La solubilidad de un fármaco a diferentes temperaturas según los valores de entalpía de fusión.,1,2022
42. ¿Para qué sirve el test de activación de monocitos (MAT)?:,1. Detección y cuantificación de bacterias gramnegativas en preparados de administración parenteral.,"2. Detección, in vitro, de pirógenos en preparados de administración parenteral.","3. Detección, in vivo , de pirógenos en preparados de administración parenteral.",4. Detección de monocitos en preparados de administración parenteral.,2,2022
43. ¿Mediante qué procedimientos se puede obtener agua para preparaciones inyectables de acuerdo con la normativa europea?:,"1. Solamente puede obtenerse mediante destilación a partir de agua purificada, apta para elaboración de medicamentos.","2. Solamente puede obtenerse mediante retroósmosis con electro-desionización, a partir de agua purificada, apta para elaboración de medicamentos.","3. Puede obtenerse mediante esterilización por calor a partir de agua potable, apta para consumo humano, y posterior envasado estéril.",4. Puede obtenerse mediante destilación o mediante un proceso equivalente como la retroósmosis con electro-desionización.,4,2022
44. ¿Cuál de los siguientes parámetros expresa la fluidez de un material pulverulento según la relación entre las densidades apelmazada y aparente?:,1. El índice de Hausner.,2. El parámetro de densificación de Ostwald.,3. El índice de densificación de Heckel.,4. El índice de porosidad.,1,2022
45. ¿Qué finalidad tienen los sistemas de vectorización activa de fármacos?:,"1. Modular la velocidad de liberación del fármaco basándose en el cambio de pH o entorno enzimático, como por ejemplo un comprimido con recubrimiento entérico.",2. Dirigir la liberación del fármaco en un lugar determinado basándose en técnicas que incrementan el tiempo de residencia de la formulación mediante procedimientos de estabilización como la pegilación.,3. Dirigir la liberación del fármaco en un órgano determinado basándose en técnicas de micro o nano encapsulación.,4. Dirigir la liberación del fármaco en un lugar determinado basándose en la unión a ligandos específicos.,4,2022
46. ¿Deben ser estériles las preparaciones líquidas para inhalación no presurizadas?:,1. Solamente en aquellas destinadas a uso quirúrgico o heridas abiertas.,"2. Solo en preparaciones presentadas en dispositivos unidosis, los cuales están exentos de conservantes, o en multidosis que no contengan conservante.","3. No es necesario en ningún caso, ya que estos preparados deben incluir conservantes en su composición salvo que posean propiedades antimicrobianas propias.","4. Sí. Es un requisito indispensable de farmacopea para este tipo de formulaciones, salvo que la formulación presente propiedades antimicrobianas.",2,2022
47. El mecanismo de pulverización por roce o fricción da lugar a partículas con una forma más próxima a la siguiente:,1. Esférica.,2. Acicular.,3. Elipsoide.,4. Dentrítica.,1,2022
48. La presión de pulso es una medida de:,1. La suma de las presiones diastólica y sistólica.,2. El número de latidos cardiacos por minuto.,3. La diferencia entre las presiones arterial y venosa.,4. La diferencia entre las presiones sistólica y diastólica.,4,2022
"49. Los factores que det erminan la presión de un gas disuelto en un líquido, como, por ejemplo, el aire alveolar y la sangre, se relacionan mediante una de las siguientes leyes:",1. Ley de Ohm.,2. Ley de Henry.,3. Ley de Fick.,4. Ley de Laplace.,2,2022
"50. Según la clasificación de sensibilidad de las fibras nerviosas, las del grupo Ib son:",1. Fibras procedentes de las terminaciones anuloespirales de los husos musculares.,2. Fibras procedentes de los órganos tendinosos de Golgi.,3. Fibras procedentes de los órganos táctiles de la piel y de las terminaciones en ramillete.,"4. Fibras que conducen la temperatura, el tacto grueso y las sensaciones de dolor y escozor.",2,2022
"51. ¿Cómo se denomina la hendidura o depresión del riñón a través del cual pasan la arteria y venas renales, los vasos linfáticos, la inervación y el uréter?:",1. Hilio renal.,2. Pirámide renal.,3. Pelvis renal.,4. Columna renal.,1,2022
52. Los receptores de estiramiento del arco aórtico y del seno carotídeo:,1. Sirven como barorreceptores que estimulan la secreción de péptido natriurético auricular.,2. Sirven como barorreceptores que afectan la actividad del centro de control vasomotor y cardiaco del bulbo raquídeo.,3. Sirven como osmorreceptores que estimulan la liberación de ADH.,"4. Sirven como barorreceptores que estimulan la secreción de renina, aumentando la formación de angiotensina II.",2,2022
53. ¿Cuál de los siguientes fenómenos está asociado a un desplazamiento hacia la derecha de la curva de disociación de oxígeno-hemoglobina?:,1. Disminución del pH.,"2. Disminución de 2,3-difosfoglicerato.",3. Disminución de CO2.,4. Disminución de la temperatura.,1,2022
54. ¿En cuál de las siguientes células se produce la secreción de gastrina?:,1. Células S del duodeno.,2. Células I del duodeno y del yeyuno.,3. Células G del antro.,4. Células K del duodeno y del yeyuno.,3,2022
55. ¿Cuál de las siguientes sustancias produce un aumento de la filtración glomerular?:,1. Noradrenalina.,2. Adrenalina.,3. Endotelina.,4. Prostaglandina E2.,4,2022
56. El epitelio que se observa en el esófago de Barret es:,1. Columnar simple.,2. Escamoso estratificado.,3. Columnar estratificado.,4. Escamoso simple.,1,2022
