Question,Option_1,Option_2,Option_3,Option_4,RC,year
1. Respecto a la estructura química de las hormonas ¿cuál de las siguientes hormonas es una amina?:,1. Hormona liberadora de corticotropina (CRH).,2. Hormona de crecimiento (GH).,3. Triyodotironina (T3).,4. Prolactina.,3,2023
2. Los estrógenos:,1. Estimulan los osteoclastos.,2. Reducen el depósito de grasa en las mamas.,3. Aumentan los niveles plasmáticos de LDL.,4. Estimulan el crecimiento del endometrio.,4,2023
3. ¿En qué situación se reduce la filtración en los capilares sanguíneos?:,1. Cuando aumenta la presión hidrostática capilar.,2. Cuando aumenta la presión oncótica del plasma.,3. Cuando aumenta la presión neta de filtración.,4. Cuando aumenta el diámetro arteriolar.,2,2023
"4. En el proceso de respiración normal, los cambios en las distintas presiones que originan la entrada y salida de aire son esenciales. En este sentido, la presión alveolar debe ser superior a la atmosférica:",1. Al final de la inspiración.,2. Al inicio de la inspiración.,3. En la fase media de la espiración.,4. Al final de la espiración.,3,2023
5. El cortisol:,1. Activa la respuesta inflamatoria.,2. Aumenta la utilización de glucosa.,3. Reduce la gluconeogénesis.,4. Aumenta la lipolisis.,4,2023
6. La adenohipófisis o hipófisis anterior secreta:,1. Oxitocina.,2. Gonadotropina coriónica humana (HCG).,3. Hormona liberadora de gonadotropina (GnRH).,4. Hormona estimulante de tiroides (TSH).,4,2023
7. ¿Cuál de estos factores inhibe la secreción de prolactina?:,1. Sueño.,2. Dopamina.,3. Hormona liberadora de tirotropina (TRH).,4. Estrés.,2,2023
8. ¿Cuál de estos factores estimula la secreción de hormona antidiurética (ADH)?:,1. Péptido natriurético atrial (PNA).,2. Etanol.,3. Disminución del volumen del líquido extracelular.,4. Disminución de la osmolaridad del líquido extracelular.,3,2023
9. Una disminución de la concentración del ion calcio (Ca2+) plasmático induce:,1. La disminución de la secreción de paratohormona (PTH).,2. El aumento de la hormona calcitonina.,3. La disminución de la excreción de fosfatos.,4. El aumento de la resorción ósea.,4,2023
10. ¿Cuál de los siguientes factores disminuye la actividad metabólica?:,1. La hormona de crecimiento.,2. El sueño.,3. La ingesta de alimentos.,4. La testosterona.,2,2023
11. La actividad marcapasos del nodo sinoauricular cardíaco:,1. Depende de una corriente despolarizante espontánea.,2. Es insensible a la estimulación vagal.,3. Se caracteriza por presentar un retraso de 0.13 segundos.,4. Se debe a la inactivación de los canales de sodio dependientes de voltaje.,1,2023
12. El gasto cardíaco es igual:,1. Al producto de la frecuencia cardíaca por la presión arterial.,2. A la diferencia entre el volumen final de diástole y el volumen final de sístole.,3. A la diferencia entre el volumen sistólico en reposo y el volumen sistólico durante el ejercicio.,4. Al producto de la frecuencia cardíaca por el volumen de eyección sistólico.,4,2023
"13. En el ciclo cardiaco, la presión en el ventrículo izquierdo es superior a la presión aórtica durante la fase:",1. Contracción isovolumétrica.,2. Relajación isovolumétrica.,3. Eyección ventricular rápida.,4. Llenado ventricular rápido.,3,2023
"14. ¿En cuál de los siguientes segmentos del sistema circulatorio, la velocidad del flujo sanguíneo es menor?:",1. Arterias de gran calibre.,2. Arteriolas.,3. Venas de gran calibre.,4. Capilares.,4,2023
15. ¿Qué nervio lleva la información barorreceptora del seno carotídeo al sistema nervioso central?:,1. Vago.,2. Frénico.,3. Glosofaríngeo.,4. Hipogloso.,3,2023
16. El líquido o plasma seminal:,1. Contiene espermatozoides.,2. Tiene un pH de 4.0.,3. Contiene fructosa.,4. Se forma en los túbulos seminíferos.,3,2023
17. Las células de Sertoli sintetizan:,1. Testosterona.,2. Proteínas ligadoras de andrógenos.,3. Hormona folículoestimulante (FSH).,4. Colesterol.,2,2023
18. Tras la menopausia aumentan los niveles plasmáticos de:,1. Estrógenos.,2. Progestágenos.,3. Inhibinas.,4. Gonadotropinas.,4,2023
19. Las activinas:,1. Estimulan la secreción de hormona folículoestimulante (FSH).,2. Inhiben la secreción de hormona luteotropa (LH).,3. Inhiben la secreción de hormona liberadora de gonadotropinas (GhRH).,4. Son esteroides ováricos.,1,2023
"20. En el parto, las prostaglandinas:",1. Se secretan por el cuerpo lúteo.,2. Desacoplan las uniones en hendidura miometriales.,3. Inhiben los efectos de la oxitocina.,4. Estimulan la contracción miometrial.,4,2023
21. ¿Cuáles de los siguientes mediadores reducen la ingesta de alimentos induciendo saciedad?:,1. CART (transcrito regulado por cocaína y anfetamina) y α-MSH (hormona estimulante de los melanocitos).,2. Orexinas A y B (hipocretinas).,3. Endorfinas.,4. Proteína relacionada con Agoutí (AgRP) y endocannabinoides.,1,2023
22. De los complejos motores migratorios podemos afirmar que:,1. Son contracciones segmentarias desde el esófago al recto originados por la ingesta.,2. Se inician en el intestino delgado con la digestión y van hasta el intestino grueso.,3. Son estimulados por la motilina.,4. Ocurren en el estómago cada 9-10 minutos mientras está lleno.,3,2023
23. Con respecto a la secreción salival y su regulación:,1. El pH óptimo de la saliva para la acción digestiva de la ptialina es de 8 o superior.,2. La calicreína tiene efectos vasoconstrictores.,3. El epitelio ductal de las glándulas salivales absorbe iones bicarbonato.,4. La bradicinina es una sustancia vasodilatadora.,4,2023
24. La secreción de ácido clorhídrico es inhibida por:,1. Estimulación simpática.,2. Acetilcolina.,3. Gastrina.,4. Histamina.,1,2023
25. ¿Qué sustancia utiliza el mismo cotransportador dependiente de sodio (SGLT1) que la glucosa en su absorción intestinal en la membrana apical?:,1. Glutamina.,2. Galactosa.,3. Sacarosa.,4. Fructosa.,2,2023
