Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
1. Los potenciales post sinápticos excitadores:,1. Son de tipo todo o nada.,2. Son hiperpolarizantes.,3. Se pueden sumar.,4. Se propagan a largas distancias.,5. Presentan un periodo refractario.,3,2013
2. Placa motora es la unión entre la neurona motora y el:,1. Músculo liso.,2. Músculo esquelético.,3. Músculo cardiaco.,4. Huso muscular.,5. Tendón.,2,2013
3. NO generan potenciales de acción:,1. Fibras musculares lisas.,2. Neuronas bipolares de la retina.,3. Fibras musculares estriadas esqueléticas.,4. Fibras musculares cardíacas.,5. Neuronas ganglionares de la retina.,2,2013
4. En la iniciación de los movimientos voluntarios la primera zona que se activa es:,1. Corteza premotora.,2. Corteza motora primaria.,3. Tallo cerebral.,4. Cerebelo.,5. Ganglios basales.,1,2013
5. Los corpúsculos de Pacini:,1. Están inervados por fibras amielínicas.,2. Son mecanorreceptores de adaptación lenta.,3. Presentan campos receptores pequeños.,4. Se localizan en zonas profundas de la dermis.,5. Son termorreceptores.,4,2013
6. El color de los ojos depende del pigmento presente en:,1. Pupila.,2. Córnea.,3. Iris.,4. Coroides.,5. Retina.,3,2013
7. Los conos:,1. Están preferentemente en la retina periférica.,2. Tienen discos membranosos apilados en su segmento externo.,3. Tienen menor sensibilidad que los bastones.,4. Sinaptan con neuronas ganglionares.,5. Sinaptan sólo sobre bipolares de centro “on”.,3,2013
8. En la capa más próxima al epitelio pigmentario de la retina están las células:,1. Ganglionares.,2. Conos y bastones.,3. Amacrinas.,4. Bipolares.,5. Horizontales.,2,2013
9. Las fibras intrafusales:,1. Se contraen en su región central.,2. Generan la mayor parte de la tensión muscular.,3. Se disponen en serie con las fibras extrafusales.,4. Están inervadas por motoneuronas alfa.,5. Reciben inervación sensorial de fibras “Ia”.,5,2013
10. Las células de Purkinje del cerebelo reciben aferencias directas de:,1. Neuronas espinales.,2. Neuronas de núcleos cerebelosos profundos.,3. Fibras trepadoras.,4. Fibras musgosas.,5. Neuronas piramidales de corteza cerebral.,3,2013
11. Liberan noradrenalina las:,1. Fibras preganglionares simpáticas.,2. Fibras postganglionares simpáticas,3. Fibras preganglionares parasimpáticas,4. Fibras postganglionares parasimpáticas,5. Únicamente las células cromafines.,2,2013
12. Los ritmos circadianos se establecen en:,1. Glándula pineal.,2. Núcleo supraquiasmático.,3. Retina.,4. Médula espinal.,5. Núcleo centromediano talámico.,2,2013
13. Una neurona motora y todas las fibras musculares que inerva constituyen:,1. Placa motora.,2. Unidad motora.,3. Unión neuromuscular.,4. Sinapsis motora.,5. Filamento motor.,2,2013
14. En el oído de mamíferos:,1. Los esterocilios de las células ciliadas contactan con la membrana basilar.,2. La rampa timpánica contiene endolinfa.,3. La membrana basilar es más ancha y flexible a nivel del helicotrema.,4. Las células sensoriales son las de Deiter.,5. La membrana oval tiene mayor superficie que la timpánica.,3,2013
"15. El calcitriol o Vitamina D activa, induce:",1. Hipocalcemia.,2. Síntesis de calbindina en enterocitos.,3. Secreción de calcio en orina.,4. Secreción de PTH.,5. Disminución en la absorción intestinal de fosfato.,2,2013
16. Aumenta la actividad de la Na +/K+-ATPasa:,1. Insulina.,2. Aldosterona.,3. ACTH.,4. Péptido atrial natriurético.,5. ADH.,2,2013
