Question,Option_1,Option_2,Option_3,Option_4,RC,year
"14. ¿Cuál de las siguientes especies de Candida presenta frecuentemente resistencia a los 3 grupos de antifúngicos disponibles (equinocandinas, azoles y polienos)?:",1. Candida albicans.,2. Candida auris.,3. Candida krusei.,4. Candida parapsilosis.,2,2019
15. ¿Qué especie de Aspergillus presenta resistencia primaria a anfotericina B?:,1. A. fumigatus.,2. A. terreus.,3. A. niger.,4. A. versicolor.,2,2019
16. ¿Qué antifúngico utilizaría para el tratamiento de una mucormicosis?:,1. Fluconazol.,2. Itraconazol.,3. Voriconazol.,4. Posaconazol.,4,2019
17. Señale la respuesta correcta sobre Bordetella pertussis:,1. Es el agente causal de la difteria.,2. La infección que más comúnmente causa es la osteomielitis.,3. El tratamiento de elección de las infecciones que causa es una cefalosporina.,"4. Produce distintos factores de virulencia, como la toxina pertussis, la toxina dermonecrótica, o la citotoxina traqueal.",4,2019
18. ¿Qué microorganismo es el causante de la fiebre tifoidea?:,1. Rickettsia typhi.,2. Salmonella serotipo Typhi.,3. Rickettsia prowazeckii.,4. Shigella dysenteriae.,2,2019
19. El síndrome de Lady Windermere hace referencia a una infección del lóbulo medio pulmonar y língula causada por el siguiente microorganismo:,1. Mycobacterium avium complex.,2. Mycobacterium tuberculosis complex.,3. Mycobacterium xenopi.,4. Mycobacterium kansasii.,1,2019
20. ¿Cuál es el antibiótico de elección para el tratamiento de meningitis por Listeria?:,1. Ampicilina.,2. Ceftriaxona.,3. Cefepima.,4. Fosfomicina.,1,2019
21. ¿Cuál de las siguientes opciones es FALSA en relación a Nocardia?:,1. Es parcialmente ácido-alcohol resistente.,2. En la tinción de Gram se observan bacilos gramnegativos ramificados.,"3. Puede causar enfermedad pulmonar, cutánea o del sistema nervioso central.",4. Las sulfamidas son antibióticos de elección en el tratamiento de la nocardiosis.,2,2019
22. Señale la opción FALSA respecto a Legionella:,1. La infección se adquiere por inhalación de aerosoles de agua contaminada.,2. La detección del antígeno en orina para el diagnóstico de neumonía por Legionella presenta una especificidad superior al 95%.,3. Legionella pneumophila serogrupo 2 causa más del 95% de los casos de legionelosis adquirida en la comunidad.,4. El levofloxacino y la azitromicina son fármacos de elección para el tratamiento de enfermedad grave en pacientes inmunodeprimidos.,3,2019
23. ¿Cuál de las siguientes relaciones entre microorganismo e infección es FALSA?:,1. Mycobacterium ulcerans - Úlcera de Buruli.,2. Escherichia coli O157:H7 - Síndrome hemolítico urémico.,3. Yersinia pestis - Peste bubónica.,4. Clostridium botulinum - Gangrena gaseosa.,4,2019
24. ¿Cuál de las siguientes inmunodeficiencias está relacionada con una mayor predisposición a infecciones diseminadas por especies de Neisseria?:,1. Déficit de IgA.,2. Déficit del complemento C2.,3. Síndrome de DiGeorge.,"4. Déficit del complemento C6, C7, C8 ó C9.",4,2019
25. ¿Cuál de las siguientes vacunas contiene polisacáridos capsulares?:,1. Vacuna Triple Bacteriana (DTP).,2. Vacuna frente a Clostridium tetani.,3. Vacuna frente a Haemophilus influenzae B.,4. Vacuna frente a Vibrio cholerae.,3,2019
26. ¿Cuál de las siguientes toxinas de Staphylococcus aureus pertenece a una clase de polipéptidos conocidos como superantígenos?:,1. Leucocidina de Panton-Valentine.,2. TSST-1 (Toxina-1 del síndrome del shock tóxico).,3. Toxina alfa.,4. Toxina exfoliativa B.,2,2019
27. ¿Cuál de los siguientes estreptococos es beta hemolítico?:,1. Streptococcus pyogenes.,2. Streptococcus pneumoniae.,3. Streptococcus sobrinus.,4. Streptococcus mutans.,1,2019
28. ¿Cuáles de las siguientes bacterias dan resultado positivo en la prueba de CAMP?:,1. Streptococcus agalactiae y Listeria monocytogenes.,2. Streptococcus pyogenes y Listeria monocytogenes.,3. Streptococcus agalactiae y Haemophilus influenzae.,4. Streptococcus pyogenes y Haemophilus influenzae.,1,2019
29. ¿Cuál de los siguientes parásitos NO presenta una distribución cosmopolita?:,1. Acanthamoeba castellanii.,2. Clonorchis sinenesis.,3. Dicrocoelium dendriticum.,4. Leishmania infantum.,2,2019
30. ¿Cuál es el tándem correcto en relación al parásito y a la localización del organismo de donde es posible recuperarlo?:,1. Dientamoeba fragilis – hígado.,2. Taenia saginata – sistema nervioso central.,3. Taenia solium – músculo.,4. Paragonimus westermani – médula ósea.,3,2019
31. ¿Cuál es el procedimiento diagnóstico para la infección causada por Schistosoma haematobium?:,1. Microscopía.,2. Cultivo.,3. Inmunofluorescencia directa.,4. Xenodiagnóstico.,1,2019
32. Indique a cuál de los siguientes procesos galénicos está asociado el método de Scherer o de matrices rotatorias:,1. A la compresión directa de mezclas pulverulentas en máquinas de comprimir multi-capa.,2. A la fabricación de cápsulas gelatinosas blandas.,3. A la dosificación volumétrica de semi-sólidos mediante válvulas de pistón.,4. A la dosificación de polvos en cápsulas duras.,2,2019
33. Indique cuál o cuáles de los siguientes procedimientos es/son aceptado/s por la normativa europea para obtener agua para preparaciones inyectables:,"1. Solamente puede obtenerse mediante destilación a partir de agua purificada, apta para la elaboración de medicamentos.","2. Solamente puede obtenerse mediante destilación a partir de agua potable, apta para consumo humano.",3. Puede obtenerse mediante destilación o mediante un proceso equivalente como retroósmosis con electro-desionización.,4. Puede obtenerse mediante esterilización por calor y posterior envasado estéril.,3,2019
"34. Según la Real Farmacopea Española, los jarabes son preparaciones líquidas de sabor dulce y consistencia viscosa que pueden contener sacarosa a una concentración no inferior al:",1. 36 % m/m.,2. 30 % m/m.,3. 45 % m/m.,4. 64 % m/m.,3,2019
35. Indique cuál de las siguientes opciones describe correctamente la técnica de iontoforesis:,1. Promueve la absorción de fármacos de carácter iónico a través de la piel utilizando una corriente eléctrica de baja intensidad.,"2. Aplicada a fármacos de carácter no iónico, permite incrementar su hidrosolubilidad, aplicando una diferencia de potencial entre dos electrodos.",3. Permite lograr la ionización de fármacos en dispositivos de aplicación transdérmica para impedir la absorción sistémica.,"4. Es una técnica de análisis e identificación de fármacos mediante la aplicación de una diferencia de potencial en un gel, en función de su movilidad iontoforética.",1,2019
36. La filtración clarificante de las suspensiones oftálmicas tiene como objetivo la eliminación de partículas de tamaño superior a:,1. 5 µm.,2. 10 µm.,3. 25 µm.,4. 90 µm.,4,2019
37. ¿Cuál de las siguientes características NO corresponde a los filtros de profundidad?:,1. Presentan poros de tamaño heterogéneo.,2. El mecanismo de retención se realiza mediante cribado y adsorción.,3. Presentan baja capacidad de retención.,4. Debido a su espesor se retiene una cierta cantidad de líquido en su interior.,3,2019
38. ¿Cuál de los siguientes estados de saturación NO corresponde al proceso de granulación por vía húmeda?:,1. Pendular.,2. Capilar.,3. Nuclear.,4. Funicular.,3,2019
39. ¿Cuál de las siguientes estrategias farmacológicas NO tiene efecto antiemético?:,1. Antagonismo del receptor H1.,2. Antagonismo del receptor D2.,3. Antagonismo de los receptores nicotínicos.,4. Antagonismo de neurocinina 1.,3,2019
40. ¿Cuál de los siguientes NO es un efecto adverso del uso de glucocorticoides a dosis altas o durante periodos prolongados?:,1. Osteoporosis.,2. Insuficiencia suprarrenal aguda tras la retirada brusca del tratamiento.,3. Úlcera péptica.,4. Hiperglucemia.,0,2019
41. ¿Cuál de las siguientes afirmaciones sobre las reacciones hematológicas provocadas por fármacos es FALSA?:,1. La granulocitopenia producida por fármacos antineoplásicos  suele ser reversible.,2. El anti-hipertensivo metildopa puede producir anemia hemolítica.,3. El cloranfenicol puede producir anemia aplásica.,4. La agranulocitosis producida por fármacos es un trastorno que acarrea consecuencias clínicas leves.,4,2019
42. Las aurículas son capaces de aumentar la frecuencia cardíaca por acción de mecanorreceptores situados en sus paredes que se activan con el estiramiento. Este efecto es un reflejo nervioso que recibe el nombre de:,1. Bezold-Jarisch.,2. Bainbridge.,3. Hering-Breuer.,4. Cushing.,2,2019
"43. ¿Cómo se llama la proteína muscular que tiene un peso molecular de 70 kDa, con estructura de hélices enrolladas y cuya función es cubrir los puntos activos de interacción de los filamentos de actina con los de miosina?:",1. Troponina.,2. Titina.,3. Nebulina.,4. Tropomiosina.,4,2019
44. Señale la afirmación correcta:,1. El aumento de la concentración de angiotensina II disminuye la secreción de aldosterona.,2. El incremento de la concentración de iones potasio disminuye la secreción de aldosterona.,3. El aumento de la concentración de iones sodio aumenta la secreción de aldosterona.,4. El efecto regulador de la ACTH sobre la velocidad de secreción de aldosterona es mínimo en la mayoría de los trastornos fisiológicos.,4,2019
45. ¿Cuál de los siguientes enunciados sobre los receptores de fármacos de tipo retinoide es correcto?:,1. Forman dímeros con el receptor de glucocorticoides.,2. Se encuentran en la membrana celular.,"3. Una vez activados, se unen a secuencias específicas del ADN e inician la transcripción de sus genes diana.",4. Son receptores acoplados a proteínas G.,3,2019
46. La principal consecuencia de la concentración de cisplatino en las células de los túbulos proximales renales por parte del transportador de cationes orgánicos 2 es:,1. Aparición de nefrotoxicidad.,2. Aumento de su excreción urinaria.,3. Interacción farmacocinética con medicamentos que son activamente secretados por el túbulo proximal.,4. Aumento del aclaramiento de creatinina.,1,2019
47. Algunas sulfamidas pueden provocar ictericia como reacción adversa en neonatos prematuros debido a su unión a albúmina. ¿Cuál de las siguientes afirmaciones sobre esta reacción es INCORRECTA?:,"1. Se debe a la bilirrubina, que es desplazada de su unión a la albúmina.",2. La inducción con fenobarbital de la UDPglucuronil transferasa reduce su riesgo.,3. Los ganglios basales quedan afectados.,4. Solo sucede si el neonato presenta determinadas variantes genéticas del sistema monooxigenasa-citocromo P450.,4,2019
