Question,Option_1,Option_2,Option_3,Option_4,RC,year
1. La velocidad de conducción de un potencial de acción será mayor:,1. Cuanto mayor sea el diámetro del axón.,2. En los axones sin mielina.,3. Cuanto mayor sea la longitud del axón.,4. Cuanto menor sea el diámetro del axón.,1,2020
2. Las sinapsis eléctricas se caracterizan por:,1. Mostrar un retraso sináptico mayor que en las sinapsis químicas.,2. Utilizar un neurotransmisor para transmitir la información.,3. Utilizar canales para transmitir la información.,4. Transmitir la información de manera unidireccional.,3,2020
3. Los sistemas sensoriales codifican la intensidad de los estímulos en función de:,1. El tamaño de los potenciales de acción.,2. La frecuencia de los potenciales de acción.,3. La velocidad de transmisión del potencial de acción.,4. La duración del potencial de acción.,2,2020
"4. En las neuronas receptoras del olfato, las proteínas receptoras de odorantes se localizan en:",1. El soma neuronal.,2. Los cilios.,3. El axón.,4. La terminal sináptica.,2,2020
5. Se llama unidad motora:,1. Al conjunto de una motoneurona alfa y todas las células musculares que inerva.,2. A un nervio y todos los músculos que inerva.,3. Al conjunto de músculos que mueven una articulación.,4. Al conjunto de husos musculares que contiene un músculo.,1,2020
6. Si el mecanismo de acción de una hormona se produce a través de la activación de la fosfolipasa C:,1. El segundo mensajero implicado es el AMPc.,2. Se activa primero un receptor intracelular.,3. Se activa la adenilato ciclasa.,4. Se induce liberación de Ca2+ de los depósitos intracelulares.,4,2020
7. ¿Cuál de las siguientes hormonas se sintetiza en la hipófisis?:,1. Prolactina.,2. Hormona antidiurética.,3. Oxitocina.,4. Hormona liberadora de tirotropina.,1,2020
8. La hormona del crecimiento:,1. Estimula la síntesis de proteínas.,2. Es un péptido de 10 aminoácidos.,3. Los productos de su degradación se llaman somatomedinas.,4. Es hipoglucemiante.,1,2020
9. ¿Cuál de los siguientes factores disminuye la secreción de insulina?:,1. Glucagón.,2. Sulfonilureas.,3. Somatostatina.,4. Obesidad.,3,2020
10. La secreción de hormonas tiroideas:,1. Está controlada por el eje hipotálamohipofisario-adrenal.,2. Se inhibe por la hormona estimulante del tiroides.,3. Se inhibe por las hormonas tiroideas.,4. No depende del control por retroalimentación.,3,2020
11. Durante la fase de despolarización del potencial de acción cardiaco ventricular se abren los canales de:,1. Ca2+.,2. Na+.,3. Na+ y K+.,4. K+.,2,2020
12. ¿Qué le ocurre a la presión intraventricular izquierda durante la fase de contracción isovolumétrica?:,1. Aumenta.,2. No varía.,3. Disminuye.,4. Baja y después sube.,1,2020
13. La diferencia entre el volumen telediastólico y el volumen telesistólico se denomina:,1. Volumen diastólico.,2. Volumen sistólico.,3. Volumen auricular.,4. Volumen residual.,2,2020
14. El flujo sanguíneo en la arteria coronaria izquierda es más alto:,1. Al inicio de la sístole.,2. Al inicio de la diástole.,3. Al final de la sístole.,4. Al final de la diástole.,2,2020
15. ¿Qué modificaciones vasculares se esperarían cuando un sujeto se levanta desde una posición de decúbito supino?:,1. Aumento de la presión arterial media.,2. Hipotensión ortostática.,3. Síncope vasovagal.,4. Descenso de la presión venosa en las piernas.,2,2020
16. Las células de Leydig:,1. Sintetizan testosterona a partir de colesterol.,2. Establecen la barrera hemato-testicular.,3. Sintetizan estradiol a partir de testosterona.,4. Son la diana principal de la FSH.,1,2020
17. La progesterona estimula:,1. Proliferación endometrial.,2. Contracción del miometrio.,3. Secreción de las glándulas endometriales.,4. Secreción de LH.,3,2020
18. Reduce la probabilidad de poliespermia la:,1. Reacción acrosómica.,2. Exocitosis de los gránulos corticales del óvulo.,3. Adhesión del espermatozoide a la zona pelúcida.,4. Reducción del Ca2+ intracelular en el óvulo.,2,2020
19. La trombina:,1. Inhibe la activación plaquetaria.,2. Convierte fibrinógeno en fibrina.,3. Inhibe la activación de protrombina.,4. Inhibe la activación de la proteína C.,2,2020
20. El valor del hematocrito:,1. Disminuye por efecto de la eritropoyetina.,2. Aumenta en la mujer embarazada.,3. Indica la concentración de leucocitos en sangre.,4. Aumenta durante la aclimatación a la altura.,4,2020
21. Del sistema nervioso entérico podemos afirmar que:,1. La estimulación parasimpática disminuye su actividad.,2. El plexo mientérico controla las secreciones del tubo digestivo.,3. El plexo mientérico se encuentra entre las capas musculares lisas longitudinal y circular.,4. El plexo submucoso controla los movimientos gastrointestinales.,3,2020
"22. Sobre la secretina, es correcto que:",1. El estímulo para su liberación es la presencia de ácidos grasos y algunos aminoácidos en el intestino delgado.,2. Estimula la evacuación gástrica y secreción de ácido.,3. Estimula la secreción de enzimas pancreáticas y la contracción de la vesícula biliar.,4. Estimula la secreción de bicarbonato y fluidos por los conductos pancreáticos.,4,2020
"23. Respecto a la secreción biliar, es correcto que:",1. Se produce en la vesícula biliar y se almacena en el hígado.,"2. Los pigmentos biliares, principalmente la bilirrubina, son responsables de la emulsión de grasas.",3. Se concentra en la vesícula biliar por reabsorción de agua e iones.,4. Las sales biliares son indispensables para la digestión enzimática y absorción de proteínas.,3,2020
"24. Para la absorción de grasas, el enterocito reesterifica los componentes lipídicos y los ensambla en:",1. Triglicéridos.,2. Quilomicrones.,3. HDL.,4. LDL.,2,2020
25. Sobre la ultrafiltración de una sustancia en el glomérulo renal es cierto que:,1. Es independiente de su carga eléctrica.,2. Es independiente de su masa molecular.,3. Depende de su masa molecular y de su carga eléctrica.,4. Depende de la circulación en la vasa recta.,3,2020
26. El valor del aclaramiento de creatinina es un índice adecuado para estimar la tasa de:,1. Secreción tubular.,2. Filtración glomerular.,3. Reabsorción en túbulo proximal.,4. Reabsorción en el tubo colector.,2,2020
"27. Sobre la glucosa a nivel renal, es correcto que:",1. Se reabsorbe exclusivamente en el túbulo distal.,2. El glomérulo establece el límite de filtración dependiendo de la tensión arterial.,3. Tiene un límite de reabsorción definido por el concepto denominado transporte tubular máximo.,4. Se filtra dependiendo de la concentración plasmática de insulina.,3,2020
28. Sobre los fenómenos de reabsorción que ocurren en el asa de Henle es correcto que:,1. Los vasa recta son los responsables del mecanismo de concentración de la orina.,2. Se produce reabsorción de Na+ en la rama ascendente y agua en la descendente.,3. Se produce reabsorción de Na+ en la rama descendente y agua en la ascendente.,4. Se produce el 90% de la reabsorción renal de K+.,2,2020
"29. Fisiológicamente, ¿cuándo aparecen valores subatmosféricos en la presión intraalveolar?:",1. Durante la inspiración.,2. Durante la espiración.,3. Durante una apnea.,4. Siempre.,1,2020
30. ¿Cómo se denomina al volumen de aire que queda en los pulmones tras un esfuerzo espiratorio máximo?:,1. Volumen residual.,2. Volumen corriente.,3. Volumen de reserva espiratoria.,4. No queda aire en los pulmones tras una espiración forzada.,1,2020
31. ¿Qué tipo de receptores median la respuesta relajante del músculo liso bronquial?:,1. Adrenérgicos alfa.,2. Muscarínicos.,3. Adrenérgicos beta.,4. Nicotínicos.,3,2020
32. ¿A las variaciones de qué compuesto responden los quimiorreceptores del bulbo raquídeo en el control de la ventilación?:,1. Presión parcial de CO2 en el plasma sanguíneo.,2. Presión parcial de CO2 en el líquido cefalorraquídeo.,3. Concentración de H+ en el líquido cefalorraquídeo.,4. Presión parcial de O2 en el líquido cefalorraquídeo.,3,2020
33. ¿Con qué combinación de factores Yamanaka y colaboradores consiguieron por primera vez la reprogramación de células somáticas a células madre pluripotentes inducidas iPSCs?:,"1. Oct4, Nanog, Bmp2 y Sox9.","2. Oct4, c-Myc, Klf4 y Sox2.","3. Nanog, Klf14, Fgf2 y Msx2.","4. Nanog, c-Myc, Fgf2 y Msx2.",2,2020
34. ¿Cuál de los siguientes huesos se forman por osificación intramembranosa?:,1. El parietal.,2. Las vértebras cervicales.,3. El escafoides.,4. El peroné.,1,2020
35. El cristalino deriva de:,1. La vesícula óptica.,2. El neuroectodermo.,3. El ectodermo de superficie.,4. El mesodermo cefálico.,3,2020
"36. En el núcleo interfásico, la cadena lineal de nucleosomas (nucleofilamento) corresponde a la fibra de cromatina de:",1. 10 nm.,2. 30 nm.,3. 165 nm.,4. 300 nm.,1,2020
37. La técnica enzimohistoquímica para localizar lisosomas en la célula detecta la actividad enzimática de la:,1. Fosfatasa alcalina.,2. NADPH-diaforasa.,3. Peroxidasa.,4. Fosfatasa ácida.,4,2020
38. La célula utiliza “la inestabilidad dinámica” de los microtúbulos en:,1. El funcionamiento de los cilios y los flagelos.,2. La organización celular en la mitosis.,3. La fagocitosis.,4. La formación de las caveolas.,2,2020
39. Las reacciones de detoxificación celular se llevan a cabo en:,1. Mitocondrias.,2. Retículo endoplasmático liso.,3. Lisosomas.,4. Aparato de Golgi.,2,2020
40. ¿Cuál de los siguientes canales y transportadores es una ATP-asa?:,1. Los transportadores de tipo ABC.,2. Las acuaporinas.,3. Los canales de Na+ voltaje-dependientes.,4. Los co-transportadores Na+-glucosa de células epiteliales que recubren el intestino.,1,2020
41. El péptido señal es una secuencia peptídica que:,1. Se une a un receptor de tipo ionotrópico.,2. Se une a los proteasomas.,3. Se encuentra en la zona pelúcida del óvulo.,4. Determina el destino de una proteína.,4,2020
42. Las dinaminas intervienen directamente en la:,1. Fusión de vesículas con la membrana plasmática.,2. Inserción del colesterol en la membrana plasmática.,3. Translocación de proteínas mitocondriales.,4. Formación de vesículas.,4,2020
"43. Un homeodominio, así como un dominio básico hélice-asa-hélice, es:",1. Una parte estructural de las proteínas que les permite acoplarse al ADN.,2. La parte central del cinetocoro.,3. La región codificante del ADN.,4. La región del ADN donde se unen los factores reguladores de transcripción secundarios.,1,2020
44. Para que una proteína se transporte a los lisosomas debe:,1. Fijarse en la membrana del RER.,2. Ir marcada con la glucosa-6-fosfato.,3. Tener un grupo ácido.,4. Ir marcada con una manosa-6-fosfato.,4,2020
45. El organizador nucleolar contiene secuencias de ADN:,1. Repetidas para ARNr.,2. De copia única para ARNr.,3. Repetidas para ARNt.,4. De copia única para ARNm.,1,2020
46. ¿Cuál de las siguientes células sintetiza histamina y heparina?:,1. Los eosinófilos.,2. Las células plasmáticas.,3. Los macrófagos.,4. Las células cebadas o mastocitos.,4,2020
"47. ¿Qué células presentan un borde festoneado con bombas protónicas que acidifican el exterior celular, destruyendo el tejido próximo a ellas?:",1. Osteocitos.,2. Osteoclastos.,3. Osteoblastos.,4. Condroblastos.,2,2020
48. Los somas de las neuronas:,1. Contienen gránulos basófilos (grumos o corpúsculos de Nissl).,2. Se localizan en la sustancia blanca del sistema nervioso central.,3. Segregan la mielina.,"4. Presentan un núcleo de pequeño tamaño y heterocromático, con nucléolo poco desarrollado.",1,2020
49. Las hidrolasas ácidas son enzimas propias de:,1. Mitocondria.,2. Retículo endoplásmico.,3. Lisosomas.,4. Núcleo.,3,2020
"50. En el glomérulo renal, la membrana basal implicada en la filtración está constituida por células:",1. Endoteliales y podocitos.,2. Mesangiales y endoteliales.,3. Endoteliales y de la cápsula de Bowman.,4. Del asa de Henle y tejido conectivo circundante.,0,2020
"51. En la piel, la queratina se origina en el stratum granulosum epidérmico y es la combinación de:",1. Filarina y mucoitrin-sulfatos.,2. Filamentos gruesos y condroitina.,3. Desmina y filamentos gruesos.,4. Tonofibrillas y granulos kerato-hialinos.,4,2020
52. En el acino del páncreas exocrino se acumulan gránulos de zimógeno cuyo contenido digestivo es rico en:,"1. Endopeptidasas, entre otras enzimas.",2. Secretasas exclusivamente.,3. Exclusivamente tripsinógeno.,4. Fosfatasas alcalinas.,1,2020
53. Es FALSO que los linfocitos:,1. Th1 producen IL-2.,"2. Th2 producen IL-4, IL-5 e IL-13.",3. Th2 producen IFN gamma.,4. Th17 producen IL-17.,3,2020
54. ¿Cuál de los siguientes órganos linfoides es primario?:,1. Amígdalas.,2. Timo.,3. Placas de Peyer.,4. Ganglio linfático.,2,2020
55. La hipermutación somática es un proceso que afecta a:,1. Los receptores de las células T.,2. Las células presentadores de antígenos.,3. Las regiones variables de las inmunoglobulinas.,4. Los receptores de reconocimiento de patógenos.,0,2020
56. ¿Dónde podemos encontrar receptores tipo Toll (TLR) en las células?:,1. Libres en el citoplasma.,2. Dentro del núcleo.,3. En la membrana nuclear.,4. En la membrana plasmática.,4,2020
57. La molécula CD8:,1. Interactúa parcialmente con el antígeno presentado.,2. Se expresa en linfocitos B memoria.,3. Tiene homología estructural con TLR4.,4. Se expresa en linfocitos T citotóxicos.,4,2020
58. ¿Qué inmunoglobulina puede formar polímeros?:,1. IgE.,2. IgD.,3. IgA.,4. IgG.,3,2020
59. ¿Cómo se denomina un injerto trasplantado entre sujetos de diferentes especies?:,1. Aloinjerto.,2. Xenoinjerto.,3. Autoinjerto.,4. Isoinjerto.,2,2020
60. ¿Qué receptor de quimioquinas usa el VIH como receptor para infectar a los linfocitos?:,1. CXCR4.,2. CCR6.,3. CXCR3.,4. CCR7.,1,2020
61. La IgE participa en la inmunidad contra:,1. Parásitos helmínticos.,2. Bacterias.,3. Virus.,4. Hongos.,1,2020
62. ¿Qué células NO son de estirpe mieloide?:,1. Basófilos.,2. Células NK.,3. Eritrocitos.,4. Monocitos.,2,2020
63. NO se considera una inmunodeficiencia primaria asociada a un defecto monogénico que afecta a los linfocitos T:,1. Síndrome de DiGeorge.,2. Síndrome de Wiskott-Aldrich.,3. Síndrome de Good.,4. Síndrome de Job o de Hiper IgE.,3,2020
64. ¿En cuál de las siguientes enfermedades humanas NO se produce una reacción de hipersensibilidad de tipo I?:,1. Anafilaxia por picadura de avispa.,2. Asma bronquial por ácaros.,3. Dermatitis de contacto por látex.,4. Fiebre del heno.,3,2020
65. NO se encuentra en la superficie de las células dendríticas o macrófagos humanos:,1. TLR1.,2. TLR2.,3. TLR3.,4. TLR4.,3,2020
66. Indique qué característica corresponde con la respuesta inmune innata:,1. Especificidad.,2. Memoria.,3. Expansión policlonal.,4. Fagocitosis.,4,2020
67. ¿En qué fase de la respuesta inmunitaria adaptativa tiene lugar la expansión clonal de los linfocitos?:,1. Reconocimiento de antígeno.,2. Activación del linfocito.,3. Eliminación del antígeno.,4. Memoria.,2,2020
68. ¿En qué función NO participan las quimioquinas?:,1. Migración celular.,2. Organogénesis.,3. Hematopoiesis.,4. Procesamiento de antígeno.,4,2020
69. ¿Qué tipo de linfocitos se expanden predominantemente y se asocian con la respuesta inmunitaria adaptativa inicial a la infección por el virus VIH?:,1. Linfocitos B.,2. T CD4+.,3. NK.,4. T CD8+.,4,2020
70. Se expresa en la superficie de los linfocitos CD8:,1. Receptor del linfocito B.,2. CD3.,3. CD4.,4. CD19.,2,2020
71. ¿Cuál de los siguientes isotipos de inmunoglobulinas es el más abundante en las mucosas corporales?:,1. IgG.,2. IgE.,3. IgM.,4. IgA.,4,2020
72. La selección positiva de los linfocitos T tiene lugar en:,1. El bazo.,2. El timo.,3. La médula ósea.,4. Tejido linfoide asociado a mucosas.,2,2020
73. ¿Cuál de las siguientes células NO es una célula presentadora de antígenos?:,1. Linfocito B.,2. Linfocito T.,3. Macrófago.,4. Célula dendrítica.,2,2020
74. ¿Qué células epiteliales de la mucosa digestiva transportan los antígenos a los linfocitos de submucosa?:,1. Enterocitos.,2. Macrófagos.,3. Células M.,4. Células dendríticas.,3,2020
75. ¿Qué característica del telómero es correcta?:,1. Está constituido por repeticiones en tándem de secuencias cortas.,2. Es una constricción cromosómica.,3. Es el sitio de unión de fibras del huso mitótico.,4. El ADN que lo constituye codifica para el gen de la telomerasa.,1,2020
76. Un ARN policistrónico:,"1. Tiene varias secuencias codificantes, en tándem.","2. Es un ARN inmaduro, con intrones.",3. Resulta de un splicing alternativo.,"4. Tiene varias secuencias repetidas, en tándem.",1,2020
"77. Los gemelos monocigotos, a lo largo de los años, desarrollan diferentes patrones de metilación de citosinas y de acetilación de histonas. Esto implica diferentes:",1. Patrones de expresión génica.,2. Patrones de mutaciones.,3. Genotipos.,4. Dotación alélica para los mismos genes.,1,2020
78. ¿Qué mecanismo puede explicar que la enfermedad de Huntington en una familia pueda manifestarse a una edad cada vez más temprana?:,1. Expansión de un triplete de nucleótidos en la secuencia codificante del gen.,2. Presencia de un elemento transponible en el gen.,3. Hipermetilación del promotor.,4. Impronta génica.,1,2020
79. La presencia de dos cariotipos distintos en el mismo individuo se denomina:,1. Mosaicismo.,2. Heterocigosidad compuesta.,3. Aneuploidía.,4. Heterodisomía.,1,2020
80. ¿Cuál de los siguientes métodos NO cuantifica ADN de forma precisa?:,1. Espectroscopía ultravioleta para medir la absorbancia del ADN.,2. Cuantificación absoluta con productos basados en el sistema TaqMan.,3. Electroforesis en gel de agarosa.,4. Fluorometría con moléculas fluorescentes de unión al ADN.,3,2020
81. En relación con los geles de agarosa en la separación de fragmentos de ADN:,"1. Una concentración de agarosa del 0,7% es adecuada para separar fragmentos pequeños de ADN (<1 kb).",2. Los geles al 1% de agarosa son comunes para muchas aplicaciones.,3. Una concentración de agarosa del 2% produce una buena resolución para fragmentos grandes de ADN (>5 kb).,"4. El mejor método para separar fragmentos de ADN muy pequeños son los geles de agarosa de hasta un 0,3%.",0,2020
82. ¿Qué probabilidad de desarrollar una enfermedad con herencia recesiva ligada al cromosoma X tendrán las hijas de una pareja formada por un hombre sano y una mujer heterocigota?:,1. 100 %.,2. 50 %.,3. 25 %.,4. 0 %.,4,2020
83. Los individuos que portan translocaciones cromosómicas recíprocas en sus células germinales dan lugar a:,1. Gametos genéticamente desequilibrados.,2. Gametos triploides.,3. Mayores tasas de recombinación meiótica.,4. Alelos recesivos con mayor frecuencia.,1,2020
84. ¿Cuál de las siguientes afirmaciones se corresponde con la recombinación VDJ que sufren los genes de inmunoglobulinas?:,1. Implica la formación de intermediarios de Holliday.,2. Tiene lugar durante la meiosis.,3. Ocurre en células somáticas.,4. Es un tipo especial de maduración de ARNm.,3,2020
85. ¿Cuál de los siguientes procesos contribuye a limitar las tasas de mutación espontánea?:,1. La producción de radicales libres.,2. La actividad exonucleasa de las ADN polimerasas en dirección de 3’ a 5’.,3. El incremento del nivel de poliploidía.,4. El ensamblaje cromatínico del ADN.,2,2020
86. ¿Qué consecuencia tiene el procesamiento alternativo de intrones en los precursores de los ARNm?:,1. Contrarresta la presencia de alelos no funcionales.,2. Permite expresar más de una proteína diferente a partir del mismo gen.,3. Contribuye a la reversión de mutaciones en ese gen.,4. Permite la transcripción de un gen en direcciones opuestas.,2,2020
87. ¿Cuál de estos sucesos ocurre durante la meiosis?:,1. Emparejamiento de cromosomas homólogos.,2. Circularización de cromosomas.,3. Eliminación de una de las dos cromátidas hermanas.,4. Hipermutación programada del genoma.,1,2020
88. ¿Qué puede decirse de los genes humanos en los que opera la impronta genómica?:,1. Mutan en cada generación.,2. Están ligados al cromosoma X.,3. Se expresan solo si el individuo es de sexo masculino.,4. Se expresan en función del sexo del progenitor del que provienen.,4,2020
89. La traducción de un ARNm ya procesado se inicia en el codón de metionina que corresponde con:,1. AUA.,2. AUG.,3. GUA.,4. UAG.,2,2020
90. El síndrome de Turner aparece en:,1. Hombres YO.,2. Mujeres XO.,3. Hombres XXY.,4. Mujeres XXX.,2,2020
91. La heterocromatina corresponde al ADN:,1. Condensado activo transcripcionalmente.,2. No enrollado activo transcripcionalmente.,3. Condensado inactivo transcripcionalmente.,4. No enrollado inactivo transcripcionalmente.,3,2020
92. El operón lac es un sistema inducible que está bajo control:,1. Negativo en algunos procariotas.,2. Positivo en algunos procariotas.,3. Negativo en algunos eucariotas.,4. Positivo en algunos eucariotas.,0,2020
93. El síndrome conocido como “maullido de gato” se caracteriza por:,1. Una duplicación en el cromosoma 5.,2. Una deleción en el cromosoma 5.,3. Una inversión en el cromosoma 5.,4. Una deleción en el cromosoma 6.,2,2020
94. ¿Dónde son sintetizados los cebadores en la cadena retrasada?:,1. Al inicio de cada fragmento de Okazaki.,2. En varios sitios dentro de un fragmento de Okazaki.,3. Sólo en el extremo 3’ de la cadena recientemente sintetizada.,4. Sólo en el extremo 5’ de la cadena recientemente sintetizada.,1,2020
95. ¿Cuál será la proporción de la descendencia de un hombre daltónico con una mujer de visión normal cuyo padre es daltónico?:,1. Todos daltónicos.,2. Mitad de los varones y mitad de las hembras daltónicas.,3. Todos los varones daltónicos y todas las hembras con visión normal.,4. Todos con visión normal.,2,2020
96. El factor sigma de la ARN polimerasa es necesario para:,1. La unión de la polimerasa al promotor.,2. La estabilización de la enzima.,3. La elongación durante la transcripción.,4. La terminación de la transcripción.,1,2020
97. La replicación del ADN es:,1. Conservativa.,2. Dispersiva.,3. Semiconservativa.,4. Conservativa en procariotas y semiconservativa en eucariotas.,3,2020
"98. Durante la replicación del ADN, la ADN helicasa:",1. Desenrrolla la horquilla de replicación.,2. Elimina la torsión de los superenrollamientos.,3. Inicia la replicación en el oriC.,4. No participa en la replicación del ADN.,1,2020
99. El error aleatorio:,1. Afecta a la precisión o fiabilidad del estudio.,2. Se puede predecir.,3. No se puede cuantificar.,4. Se reduce disminuyendo el tamaño de la muestra.,1,2020
100. La sensibilidad diagnóstica es la proporción de verdaderos:,1. Negativos entre los sanos.,2. Positivos entre los enfermos.,3. Negativos entre los que tienen un resultado negativo.,4. Positivos entre los que tienen un resultado positivo.,2,2020
101. El área bajo la curva ROC:,"1. De valor 1, indica que la prueba no tiene poder diagnóstico.","2. De valor 0,5 representa una prueba con escaso poder diagnóstico.",3. Presenta unos valores comprendidos entre 1 e infinito.,4. Representa la concordancia entre observadores cuando la variable es categórica a través de proporciones.,2,2020
102. ¿Qué prueba estadística paramétrica se usará para testar la hipótesis de 2 variables categóricas de una muestra independiente?:,1. T de Student ANOVA.,2. Test de Cochran.,3. Ro de Spearman.,4. Ji-cuadrado.,0,2020
103. El índice de inconsistencia del 80% indica:,1. Que hay baja heterogeneidad.,2. Heterogeneidad media.,3. Heterogeneidad sustancial.,4. Que no hay heterogeneidad.,3,2020
104. La afinidad de la hemoglobina por el O2:,"1. Aumenta cuando el valor de pH es inferior a7,4.","2. Disminuye cuando el valor de pH es inferior a7,4.","3. Se sitúa estructuralmente en el mismo sitio catalítico que el ácido 2,3-bisfosfoglicérico.",4. No se modifica por el cambio de pH en los tejidos.,2,2020
"105. En las proteínas, aquellos aminoácidos con cadenas ionizables:","1. Son todos esenciales, y deben tomarse en la dieta.",2. Poseen grupos aromáticos que favorecen su hidrofobicidad.,"3. Tienden a agruparse en el interior de la proteína, lejos del entorno acuoso de la célula.",4. Son capaces tanto de formar enlaces iónicos como donar o aceptar protones para facilitar reacciones.,4,2020
106. El colágeno es una proteína que:,1. Forma una típica hélice-alfa.,2. Forma una estructura de hoja plegada beta antiparalela de unos 3.000 Ángstrom de longitud.,"3. Forma una hélice diferente a la alfa, que se denomina hélice de colágeno de triple hebra que se estabiliza por repulsiones estéricas.",4. Se caracteriza por carecer del aminoácido prolina en su composición.,3,2020
"107. ¿Cuál de las siguientes afirmaciones sobre la descarboxilación oxidativa del piruvato, catalizada por el complejo piruvato deshidrogenasa, es correcta?:","1. Utiliza NAD+, ácido lipoico, fosfato de piridoxal y FAD como coenzimas de la reacción.",2. Uno de los productos de la reacción es un tioéster de acetato.,3. El grupo metilo del piruvato se elimina como CO2.,4. La reacción es tan importante que tiene lugar a máxima velocidad en todas las condiciones y en todas las células.,2,2020
108. Las cadenas polipeptídicas de una proteína:,1. Siempre forman estructuras en alfa-hélice.,2. Pueden entrecruzarse mediante enlaces disulfuro de dos cisteínas.,3. Se unen a otras cadenas polipeptídicas por su extremo N-terminal mediante prolina o hidroxiprolina.,4. Tienen una composición equimolecular de los20 aminoácidos naturales.,2,2020
109. La lipoproteinalipasa participa en:,1. La degradación de los triacilgliceroles de los quilomicrones para proporcionar ácidos grasos a los diferentes tejidos.,2. El transporte intestinal de los lípidos de la dieta.,3. La degradación de las lipoproteínas para proporcionar aminoácidos.,4. La degradación de los triacilglicéridos almacenados intracelularmente para proporcionar ácidos grasos como combustible energético.,1,2020
110. La carga que tiene la glicina en una disolución a pH 13 es:,1. Positiva (+1).,2. Sin carga.,3. Negativa (-1).,4. Negativa (-2).,3,2020
111. La afirmación correcta sobre las enzimas y la cinética enzimática es:,1. La velocidad de una reacción enzimática es independiente de la concentración de enzima.,2. Una enzima presenta mayor afinidad por el sustrato cuanto mayor sea su valor de Km.,3. A concentraciones muy elevadas de sustrato la velocidad de reacción es de orden cero con respecto a la concentración de sustrato.,4. La pérdida de la actividad de un enzima lleva consigo la pérdida de su estructura primaria.,3,2020
112. La afirmación correcta sobre la estructura secundaria de las proteínas es:,"1. En la hélice α, los grupos –R de los aminoácidos se sitúan hacia el interior de la estructura helicoidal.",2. La conexión entre conformaciones α y  se realiza mediante un giro que contiene Trp.,3. La hélice α se estabiliza por la formación de puentes de hidrógeno intracatenarios entre grupos NH y CO de la cadena principal.,4. Los aminoácidos prolina y glicina son muy frecuentes en la α hélice.,3,2020
113. La afirmación correcta sobre la estructura de los esfingolípidos es:,1. La estructura básica de los esfingolípidos está constituida por glicerol unido a un grupo fosfato.,"2. Las esfingomielinas, los gangliósidos y cerebrósidos son diferentes tipos de esfingolípidos.",3. En la estructura de los esfingolípidos encontramos dos ácidos grasos esterificando a dos grupos hidroxilo de la esfingosina.,4. La formación de un enlace éster entre un grupo hidroxilo de la esfingosina y un grupo carboxilo de un ácido graso da lugar a la ceramida.,2,2020
114. Las causas más frecuentes en nuestro medio de síndrome de Cushing son:,1. Los tumores suprarrenales productores de cortisol.,2. Los adenomas hipofisarios productores de adrenocorticotropina.,3. Los tumores no hipofisarios productores de adrenocorticotropina.,4. Los tumores suprarrenales productores de adrenocorticotropina.,2,2020
115. El hiperaldosteronismo primario se relaciona con:,"1. Hipotensión, retención de Na+ e incremento de la excreción de K+.","2. Hipotensión, retención de K+ e incremento de la excreción de Na+.","3. Hipertensión, retención de K+ e incremento de la excreción de Na+.","4. Hipertensión, retención de Na+ e incremento de la excreción de K+.",4,2020
116. La prediabetes se define como:,1. Glucemia tras ayuno de 8 horas entre 100 y125 mg/dL.,2. Valores de hemoglobina glicosilada superiores al 7%.,3. Glucemia a las 2 horas tras sobrecarga oral de glucosa (75 g) superior a 200 mg/dL.,4. Detección de glucosa en orina tras sobrecarga oral de glucosa (75 g).,1,2020
