Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
1. Se localiza en el diencéfalo:,1. El bulbo raquídeo.,2. La protuberancia.,3. El tálamo.,4. El cerebelo.,5. La corteza cerebral.,3,2011
2. El análisis de la frecuencias acústicas por la cóclea depende de:,1. Propiedades mecánicas de la membrana redonda.,2. Propiedades mecánicas de la membrana oval.,3. Propiedades mecánicas de la membrana basilar.,4. Frecuencia de potenciales de acción en las células ciliadas.,5. La descarga espontánea de las células ciliadas.,3,2011
3. La corteza somatosens orial primaria tiene:,1. Representación somatópica.,2. Representación proporcional de toda la superficie corporal.,3. Representación del lado ipsilateral del cuerpo.,4. Organización radial.,5. Distribución homogénea por toda la corteza cerebral.,1,2011
4. Pertenece al cerebro el núcleo:,1. Putamen.,2. Dentado.,3. Caudado.,4. Rojo.,5. Oliva inferior.,0,2011
5. En un electroencefalograma (EEG) las ondas delta indican:,1. Alta actividad cerebral.,2. Estimulación simpática.,3. Alta sincronización neuronal.,4. Estado de sueño REM.,5. Estado de alerta.,3,2011
6. Las células ciliadas del oído interno se despolarizan por:,1. Entrada de sodio.,2. Entrada de potasio.,3. Salida de potasio.,4. Entrada de calcio.,5. Salida de cloruro.,2,2011
7. Los circuitos neuronales  de inhibición recíproca controlan:,1. El músculo antagonista.,2. El músculo agonista.,3. Las dos extremidades a la vez.,4. La longitud del músculo.,5. La tensión del músculo.,1,2011
8. NO recibe un control hipofisario directo:,1. PTH.,2. Cortisol.,3. Somatomedina.,4. Tiroxina.,5. Testosterona.,1,2011
"9. En el electrocardiograma, la repolarización ventricular se corresponde con:",1. El complejo “QRS”.,2. La onda T.,3. La onda P.,4. El segmento S-T.,5. El Intervalo Q-T.,2,2011
10. Aumenta la resistencia arterial sistemática el:,1. Óxido nítrico.,2. Aumento de la temperatura corporal.,3. Aumento de la presión parcial de CO2.,4. Aumento del tono simpático.,5. Reducción de la viscosidad sanguínea.,4,2011
11. Favorece el retorno venoso:,1. Hipotensión arterial.,2. Inspiración forzada.,3. Relajación muscular de extremidades inferiores.,4. Bipedestación prolongada.,5. Inhibición del simpático.,2,2011
12. Produce bradicardia:,1. Activación de barorreceptores arteriales.,2. Adrenalina.,3. Tiroxina.,4. Aumento del retorno venoso.,5. Aumento de la temperatura corporal.,1,2011
