Question,Option_1,Option_2,Option_3,Option_4,Option_5,RC,year
1. Las vías motoras somáticas:,1. Son inhibidoras.,2. Presentan una neurona preganglionar y otra postganglionar.,3. Inervan glándulas.,4. Liberan adrenalina.,5. Inervan el músculo esquelético.,5,2009
2. Los ganglios raquídeos contienen los cuerpos celulares de las neuronas:,1. Motoras alfa.,2. Motoras gamma.,3. Intermedias.,4. Preganglionares autónomas.,5. Sensitivas.,5,2009
3. El órgano tendinoso de Golgi:,1. Está en el huso muscular.,2. Detecta la longitud del músculo.,3. Se puede contraer.,4. Desencadena contracción refleja.,5. Detecta la tensión muscular.,5,2009
4. La médula adrenal segrega:,1. Mineralcorticoides.,2. Corticosteroides.,3. Hormonas sexuales.,4. Catecolaminas.,5. Aldosterona.,4,2009
5. Inhibe el apetito:,1. Leptina.,2. Ghrelina.,3. Insulina.,4. Neuropeptido Y.,5. Orexinas.,1,2009
6. Las células de Paneth de las criptas intestinale s segregan:,1. Lisozima.,2. Colecistocinina.,3. Secretina.,4. Moco ácido.,5. Somatostatina.,1,2009
"7. En la circulación sistémica, el gasto cardiaco e s inversamente proporcional a:",1. El retorno venoso.,2. La presión arterial.,3. La frecuencia cardiaca.,4. La resistencia periférica total.,5. El volumen sistólico.,4,2009
8. La hipotensión ortostática dispara el reflejo:,1. Barorreceptor.,2. Quimiorreceptor.,3. Vasovagal.,4. Miotático.,5. De HeringxBrauer.,1,2009
9. La neurona reabsorbe pasivamente:,1. Glucosa.,2. Aminoácidos.,3. Sodio.,4. Proteínas.,5. Urea.,0,2009
10. Los riñones sintetizan la:,1. Renina.,2. Eritropoyetina.,3. Hormona antidiurética.,4. Aldosterona.,5. Calciferol.,0,2009
11. La deshidratación disminuye la:,1. Frecuencia cardiaca.,2. Fuerza de contracción cardiaca.,3. Resistencia periférica.,4. Tasa de filtración glomerular.,5. Sed.,4,2009
12. Si la tasa de filtración de una sustancia X es igual a su tasa de excreción:,1. Hay reabsorción neta de X.,2. Hay secreción neta de X.,3. X ni se segrega ni se reabsorbe.,4. El aclaramiento de X es menor que el de la inulina.,5. El aclaramiento de X es mayor que el de la inulina.,3,2009
13. El surfactante pulmonar aumenta:,1. El trabajo pulmonar.,2. La distensibilidad pulmonar.,3. La tensión superficial alveolar.,4. La elasticidad pulmonar.,5. La resistencia de las vías aéreas.,2,2009
"14. Respecto a la atmosférica, al final de la inspi rañ ción la presión alveolar es:",1. Positiva.,2. Negativa.,3. Cero.,4. Mínima.,5. Máxima.,3,2009
15. La Na +/K + ATPñasa:,1. Se bloquea selectivamente por tetrodotoxina.,2. Intercambia 2 Na + por 1 K +.,3. Transporta cualquier catión monovalente exx tracelular.,4. Es electrogénica.,5. Sólo está en neuronas.,4,2009
"16. Reduce el volumen celular, un medio:",1. Hipertónico.,2. Hipotónico.,3. Isotónico.,4. Hiposmótico.,5. Isosmótico.,1,2009
17. La ecuación de Nernst determina:,1. La amplitud del potencial de acción.,2. El potencial de equilibrio para un ión.,3. La permeabilidad de la membrana a un ión.,4. El valor de potencial de membrana.,5. La resistencia específica de la membrana.,2,2009
"18. En una célula excitable, una respuesta graduañ da:",1. Es autorregenerativa.,2. Se progapa sin decremento.,3. Es siempre despolarizante.,4. Se transmite electrotónicamente.,5. Tiene una duración constante.,4,2009
19. El músculo cardiaco de mamíferos:,1. Presenta uniones comunicantes.,2. Carece de sarcómeros.,3. Genera potenciales de acción de corta durax ción.,4. Posee alta densidad de placas motoras.,5. Son fibras multinucleadas.,1,2009
20. Las neuronas sensoriales olfatorias proyectan de forma directa a:,1. Células mitrales del bulbo olfatorio.,2. Núcleo centromediano del tálamo.,3. Corteza piriforme.,4. Neuronas hipotalámicas.,5. Amigdala.,1,2009
21. Sobre las fibras intrafusales de mamíferos se puede afirmar que:,1. Sus receptores detectan acortamiento muscux lar.,2. Se contraen al estimularse las motoneuronas gamma.,3. Se disponen en serie respecto a las fibras extrafusales.,4. Generan la mayor parte de la tensión muscux lar.,5. Son sensores de la fuerza muscular.,2,2009
22. En el oído de mamíferos:,1. La cadena de huesecillos transmite las vibrax ciones desde el tímpano a la ventana redonda.,2. Las células sensoriales se localizan en el órgano de Corti.,3. La endolinfa está en las rampas vestibular y timpánica.,4. La endolinfa está en el oído medio.,5. Los sonidos de alta frecuencia estimulan más eficazmente los receptores próximos al helicox trema.,2,2009
23. El filtrado glomerular:,1. Depende de la presión neta de filtración.,2. Aumenta por la vasoconstricción de la arteriola aferente.,3. Aumenta al aumentar la presión hidrostática en la cápsula de Bowman.,4. Aumenta al disminuir la presión arterial.,5. Es hiperosmolar con respecto al plasma.,1,2009
24. El reflejo miotático:,1. Es polisináptico.,2. Está mediado por fibras aferentes tipo Ia.,3. Inhibe las motoneuronas alfa.,4. Participan los núcleos motores troncoencefálix cos.,5. Evita el desarrollo de tensiones peligrosas para el músculo.,2,2009
25. Sobre el sistema nervioso parasimpático se pueñ de afirmar que:,1. Es sólo sensorial.,2. Se activa en situaciones de lucha o huída.,3. Su neurona preganglionar se localiza a nivel troncoencefálico o sacro.,4. Su neurotransmisor principal es la noradrenax lina.,5. Sus neuronas preganglionares poseen axones muy cortos.,3,2009
26. El hipotálamo NO controla:,1. Funciones viscerales.,2. El apetito.,3. La secreción hormonal hipofisaria.,4. La temperatura.,5. La postura.,5,2009
27. Es liposoluble la:,1. Aldosterona.,2. Insulina.,3. TRH.,4. ADH.,5. Oxitocina.,1,2009
28. El hipotálamo secreta:,1. Tirotropina (TSH).,2. Corticotropina (ACTH).,3. Somatomedina (IGF).,4. Hormona Foliculoestimulante (FSH).,5. Somatostatina (GIH).,5,2009
29. La neurohipófisis libera:,1. Tirotropina (TSH).,2. Somatomedina.,3. Hormona del crecimiento (GH).,4. Oxitocina.,5. Somatostatina.,4,2009
30. Las somatomedinas sanguíneas:,1. Estimulan la secreción de hormona del crecix miento.,2. Se liberan en la neurohipófisis.,3. Se producen principalmente en el hígado.,4. Las producen las células alfa pancreáticas.,5. Retrasan el crecimiento óseo.,3,2009
