Año,Num Q,RC,Enunciado
2020,1,1, 1=> Las ortopra midas son un grupo de antip sicót icos que  se ca racter izan estruct ural mente por ser:    1=> Benza midas c on un gr upo metoxilo en orto . 2=> Benzoato s con un grupo  metoxilo en orto . 3=> Benza midas c on un gr upo amino en orto . 4=> Benzoato s con un grupo  amino en orto .    
2020,2,3,"2=> Las molécula s que tiene n propiedades física s y quí- micas semejantes y que producen efec tos fisioló gico s  similare s, se deno minan:    1=> Isómeros estruc turales.   2=> Isómeros conformacio nales.  3=> Bioisóster os.  4=> Enan tiómeros.    "
2020,3,3,3=> ¿Cuá l es la especie reactiva que se forma durante  el  proce so de bioa ctivació n del fármaco antit umoral  daca rbazina  (deriv ado de t riazenoimidazo l)?:    1=> Radical hidroxilo .  2=> Catión azirid inio.  3=> Catión metildiazo nio.  4=> Un g rupo imino.    
2020,4,2,4=> ¿Qué es el suxametonio (succinilcolina)  respecto  al  deca metonio? :    1=> Un pro fármaco.  2=> Un an álogo blando .  3=> Un antago nista co mpetitivo.  4=> Un an álogo más lipó filo.   
2020,5,3,"5. El captopril, primer inhibidor comercia lizado  de la  enzi ma conver sora  de angiotensina (ECA) , tiene un  grupo  tiol (merca pto). ¿Por qué razón este grupo  no  se ha conserva do en los análog os diseñado s con pos- teriorida d?:    1=> No es importante p ara la ac tivid ad del ca ptopril.  2=> Un grupo carboxílico interac ciona mejor con el  catió n zinc d e la metaloenzi ma.  3=> Su presencia se asoci a con efecto s secundarios,  tales co mo la ap arició n de erupcio nes cutá neas.  4=> Porque se mejoran las propiedades organolép ticas  de los análogos.   "
2020,6,1,"6. El cloroformiato de bencil o, también  deno minado   cloruro  de bencilox icarbonil o (Cl-Cbz) , es un reacti- vo muy utilizado  en síntesi s de péptido s. ¿Cuá l es su  finalida d?:    1=> Proteger un  grupo amino.  2=> Proteger un  grupo carboxílico.   3=> Activar un grupo  carboxílico.   4=> Acoplar un grupo amino con un gr upo carboxílico.              "
2020,7,3," 7. Señale la respuesta correc ta en rela ción con las ari- loxipropano laminas que actúan de manera  selectiv a  en rece ptores a drenérg icos beta-1:    1=> Presentan  un sustituyente pequeño sobre el nitró- geno.   2=> El grupo  arilo  debe ser un ciclo condensado  para  establece r una fuerte inter acció n hidrofób ica con la  diana.  3=> Presentan  un sustit uyente en posición para del  anillo aromático , que establec e un enlace de hidró- geno ad icional co n la d iana.  4=> La amina debe ser  terciaria.   "
2020,8,3,8. ¿Qué requisito estruct ural debe esta r prese nte en los  deriv ados de testo stero na para  que sean activos por  vía oral?:    1=> Un g rupo éster en la p osició n 17 beta.  2=> Un áto mo de flúor en la p osici ón 9  alfa.   3=> Un sust ituye nte en la p osició n 17 alfa.  4=> Un h eteroátomo en la p osició n    
2020,9,4,9. ¿Cuá l de las siguiente s rela ciones estruct ura- activida d NO  es co rrec ta para la morfina? :    1=> La presen cia de un grupo ciclo propilmetilo en el  nitrógeno conduce a compuestos con actividad   agonista p arcial.   2=> La N-fenetilnormorfina tiene una acció n anal gésica  más potente q ue la morfina.   3=> La alquilació n del hidroxilo fenólico  reduce la  actividad  anal gésica.   4=> La reducció n del doble enlac e reduce la actividad   analg ésica.    
2020,10,1,10. ¿Cuá l de los siguiente s compuestos puede conside- rarse un prof ármaco?:    1=> Omeprazol.  2=> Tolaza mida.  3=> Fentanilo.  4=> Salbuta mol.   
