Año,Num Q,RC,Enunciado
2021,1,3,1. me da igual: 1=> Disminuye la velocidad de hidró lisis 2=> Aumen ta la estabilidad del profármaco 3=> El grupo éster externo es  más accesible al centro activo de las esterasas 4=> Facilita la b ioactivación selectiv a en el lugar de acción 
2021,2,1,2 ¿Qué inconveniente presenta el empleo de bases de Mannich como profármacos de amid as?: 1=>Son  inestables in vitro  2=>Aumen tan excesivamente la lip ofilia 3=>So n demasiado estables in vivo  4=>Fo rman con facilidad redes cristalinas muy estables 
2021,3,3,3 ¿Cuál de los siguientes sustituyentes presentes en la estructura de los antagonistas de los recep-tores de angiotensina II es ácido y aporta lipofi- lia?: 1=>Bifenilo  2=>Hidrox imetilo  3=>Tetrazo l 4=>n -Butilo  
2021,4,4,4 ¿Qué papel desempeñan los fragmentos de beta- hidroxicarbonilo de las antraciclinas en su acti- vidad bi ológica?: 1=>Establecen enl aces covalentes con el ADN 2=>Establecen enl aces de hidrógeno con la topoi- some rasa I 3=>Fijan la conformación activa  a través de enla- ces de hidrógeno intramoleculares 4=>Forman quelatos con el Fe3+ favoreciendo la formación de radicales hi droxilo
2021,5,3,5 ¿Qué consecuencia tiene el cambio de posición de uno de l os grupos hidroxilo del anillo  de catec ol en los derivados de ariletanolamina que actúan en los receptores adrenérgicos?: 1=>Se fa vorece la degradación por la catecol-O- metil-tran sferasa 2=>Se  pierde actividad al disminuir la analogía con el ligando endógeno 3=>Aumen ta la estabilidad metabó lica 4=>Se favo rece la degr adación por monoami no oxi dasas
2021,6,1,6 El catión metildiazonio es un metabolito ac tivo de: 1=>Procarbazina 2=>C iclofosfamida  3=>Mecloretamina  4=>Busulf án.7
2021,7,3,7. me da igual un inhibidor su icida?: 1=>Lo pinavir 2=>Captop ril 3=>Seleg ilina 4=>R ivastigmina
2021,8,2,8. ¿Cuál de las siguientes reacciones metabólicas de fase II NO conduce a un metabolito de ma- yor polaridad? : 1=>Gl ucuronidación 2=>Acetilación 3=>C onjugación con sulfato 4=>Conjugación con glutatión
2021,9,4,"9 Un método general para obtener derivados del ácido barbitúrico consiste en la reacción en tre: 1=>Fen ilhidrazina y un compuesto carbon ílico enolizable  2=>Un a 1,3-diamina y carbonato de etilo  3=>Acetilacetato de etilo, amoniaco y alde hídos aromáticos 4=>Un éster malón ico convenientemente sustitui- do y ur ea"
2021,10,4,10 Las sulfonilureas ejercen su efecto hipogluce- miante al interaccionar con: 1=>Canales de calcio dependientes de potencial 2=>Canales de sodio dependientes de potencial 3=>B ombas iónicas dependientes de ATP 4=>Canales de potasio dependientes de ATP
2021,11,3,11=> La síntesis de péptidos a partir de un aminoáci- do anclado sobre un sopo rte polimérico insolu- ble en el medio de reacción se denomina síntesis de: 1=>Hantzsc h 2=>Corey 3=>Merrifield  4=>Skraup
2021,12,3,"12 La toxicidad de l paracetamol [N-(4- hidroxifenil)acetamida] a dosis elevadas, sedebe a la formación de un metabolito altamente electrófilo. ¿De qué naturaleza química es este metabolito? : 1=>Ep óxido 2=>Catión aziridinio 3=> a 4=> b "
2021,13,4," 13=> En las relaciones cuantitativas entre la estruc- tura química y la actividad biológica, el pará-metro de Hammett se relaciona con:     1=> La lipofilia de la molécula.  2=> El efecto estérico de los sustituyentes.  3=> La fracción de fármaco que alcanza la diana.  4=> El efecto electrónico de los sustituyentes.   "
