Año,Num Q,RC,Enunciado
2022,1,1," 1=> Saquinavir y ritonavir son fármacos utilizados  en el tratamiento del SIDA que son además un ejemplo de diseño raciona l basado en la estruc- tura. ¿Cuál de las siguientes afirmaciones des- cribe correctamente a estos compuestos?:   1=> Son peptidomiméticos diseñados para inhibir  la proteasa del VIH y actuar como análogos del estado de transición. 2=> Son análogos de los ácidos nucleicos y actúan  como inhibidores competitivos de la trans- criptasa inversa. 3=> Son peptidomiméticos diseñados para inhibir  la integrasa del VIH y actuar como inhibido- res reversibles. 4=> Son compuestos que contienen en su estructu- ra un sistema de didesoxiribosa, diseñados pa- ra actuar como inhibidores de una proteasa  del VIH.    "
2022,2,3,"2=> Las penicilinas poseen una estructura bicíclica  que contiene una β-lactama fundamental para su actividad antibacteriana. Este sistema bicí- clico:    1=> Confiere una elevada tensión que dificulta su  apertura por las β-lactamasas bacterianas,  confiriéndole así resiste ncia a estas enzimas.  2=> Mimetiza el enlace glicosídico entre N- acetilmurámico y N-acetilglucosamina impi- diendo así la síntesis del peptidoglicano pre- sente en la pared celular bacteriana.  3=> Mimetiza el dímero de D-Ala-D-Ala presente  en el peptidoglicano, inhibiendo irreversible- mente la transpeptidasa.  4=> Puede ser modificado bioisostéricamente,  sustituyendo el nitrógeno por un oxígeno y  dando lugar a una β-lactona química y enzi- máticamente más estable.      "
2022,3,2,"3=> Los β-bloqueantes fueron diseñados para actuar  como antagonistas de los receptores β-1 del corazón. Estructuralmente son ariloxipropano- laminas y su selectividad cardiaca se consigue:    1=> Introduciendo un grupo pequeño (H, metilo)  en el grupo amino.  2=> Introduciendo un grupo moderadamente vo- luminoso (isopropilo) en el grupo amino.  3=> Eliminando el grupo catecol y sustituyéndolo  por un arilo más voluminoso.  4=> Epimerizando el grupo hidroxilo.                                        "
2022,4,1,"4=> El sistema de quinolina forma parte de la es- tructura de muchos fármacos. Su síntesis se puede llevar a cabo mediante el método de  Skraup, que implica hacer reaccionar derivados  de:   1=> Anilina con ácido sulfúrico y glicerina en  presencia de nitrobenceno.  2=> Piridina con malonato de dietilo en medio  básico.  3=> Fenilpropilamina en condiciones de ciclación.  4=> Anilina con propanol en condiciones de susti- tución nucleófila aromática.   "
2022,5,2,5. ¿Cuál de los siguientes antagonistas de los cana- les NMDA del ácido glutámico es además un agente antiviral?:    1=> Ketamina.  2=> Amantadina.  3=> Ganciclovir.   4=> Dextrometorfano. 
2022,6,4,6. ¿Con qué nombre se describen los fármacos que  mantienen la actividad opioide de la morfina y carecen del anillo de epóxido y del anillo C de  esta?:    1=> Morfinanos.  2=> Fenilpiperidinas.  3=> Anilinopiperidinas.   4=> Benzomorfanos.   
2022,7,2,"7. En el diseño de las estatinas, ¿qué fragmento de  la estructura se considera esencial para realizar  la actividad inhibidora del enzima HMG-CoA reductasa?:    1=> El fragmento de decalina.  2=> El fragmento de β-hidroxi-δ-lactona o su co- rrespondiente dihidroxiácido.  3=> El anillo aromático halogenado.   4=> El grupo isopropilo.    "
2022,8,3,"8. ¿Cuál de las siguientes ecuaciones define al  coeficiente de partición (P) de un fármaco, sien- do [fármaco] la concentración de dicho fármaco  en el disolvente indicado?:   1=> P = [fármaco] agua /[fármaco] octanol .  2=> P = Log[fármaco] agua.  3=> P = [fármaco] octanol /[fármaco] agua.  4=> P = Log[fármaco] octanol .      "
2022,9,3,"9. ¿Qué tipo de intermedio reactivo se forma en el  metabolismo oxidativo de los anillos aromáticos y es responsable de su toxicidad?:    1=> Quinona.  2=> 1,2-Diol.  3=> Epóxido.  4=> Radical hidroxilo.   "
2022,10,2," 10. La metodología utilizada para preparar, en un  proceso único y eficiente, una mezcla o colec-ción de compuestos estructuralmente relaciona- dos, se denomina:    1=> Química supramolecular.  2=> Química combinatoria.  3=> Química divergente.  4=> Química sostenible.   "
2022,11,3,11=> ¿Cuál es el papel fundamental del grupo meto- xilo en la posición 4 del anillo de piridina del  omeprazol?:   1=> Aumentar su estabilidad metabólica.  2=> Disminuir su lipofilia para disminuir su ab- sorción.  3=> Aumentar la nucleofilia del nitrógeno piridí- nico para su b ioactivación.  4=> Aumentar su lipofilia para favorecer su ab- sorción.   
2022,12,4,"12=> El atracurio es un bloqueante neuromuscular  análogo sintético de la tubocurarina que se  inactiva rápidamente en la sangre (pH= 7,4) por una reacción de:    1=> Hidrólisis de un grupo carbamato.  2=> Desmetilación de la sal de amonio cuaterna- rio.  3=> Oxidación del heter ociclo nitrogenado.  4=> Eliminación de Hofmann.   "
2022,13,3,"13=> ¿Cuáles de los siguientes fragmentos deben  estar presentes en la estructura de los antago- nistas nicotínicos?:   1=> Dos restos de acetilcolina situados a una de- terminada distancia el uno del otro.  2=> Un átomo de nitrógeno cuaternario, una fun- ción oxigenada, y dos grupos apolares próxi- mos a esta última.  3=> Dos átomos de nitrógeno cargados unidos por  un espaciador, de manera que estén situados a  una distancia determinada el uno del otro.  4=> Un nitrógeno cuaternario y anillos aromáticos  con grupos aceptores de electrones.   "
2022,14,2,14=> ¿Qué consecuencia tien e la introducción de un  grupo etinilo en la posició n 17-α del estradiol?:    1=> Aumenta la selectividad al facilitar la unión al  receptor α y al impedir la interacción con el receptor β.  2=> Prolonga la actividad del fármaco por inhibi- ción de su metabolismo.  3=> Aumenta la unión al receptor al incrementar  la acidez del grupo OH en la posición 17-β.  4=>  Cambia la actividad del fármaco de agonista a  antagonista.            
