Año,Num Q,RC,Enunciado
2022,160,3,"160. ¿Cuál de las siguientes afirmaciones es correcta  para los glicoesfingolípidos?:    1=> Son apolares.  2=> Su función principal es la reserva energética.  3=> En el caso de que porten ácido siálico, se  denominan gangliósidos.  4=> Tienen dos residuos de ácidos grasos en su  molécula.   "
2022,161,4,"161=> ¿Cuál de las siguientes afirmaciones es cierta  para la oxidación de ácidos grasos?:    1=> La oxidación y la síntesis de ácidos grasos se  dan con las mismas reacciones, pero en senti- do contrario.  2=> Tiene lugar en el citosol.  3=> Tiene lugar con niveles plasmáticos bajos de  glucagón o adrenalina.  4=> Los ácidos grasos deben activarse (uniéndose  a CoA) para permitir su internalización en la  mitocondria.   "
2022,162,2,162=> ¿Cuál de las siguientes afirmaciones es cierta  para el metabolismo del nitrógeno de los ami-noácidos?:    1=> El nitrógeno es liberado en el proceso de digestión por las proteasas pancreáticas.  2=> El primer paso de la eliminación del nitró- geno suele ser la transferencia del grupo α-amino al α-cetoglutarato.  3=> Las aminotransferasas son inespecíficas y  actúan sobre todos los aminoácidos.  4=> Las reacciones de transaminación son altamente reversibles 
2022,163,4, 163=> ¿Cuál de las siguientes afirmaciones es FALSA  para síntesis de desoxirribonucleótidos?:   1=> La enzima clave es la ribonucleótido reducta- sa.  2=> La fuente de equivalentes reductores es el NADPH + H +.  3=> El dATP inhibe alostéricamente la síntesis.  4=> Se sintetizan directamente desde desoxirribo- sa.   
2022,164,0,"164=> ¿Cuál de las siguientes afirmaciones es cierta  para la regulación hormon al de la glucolisis?:    1=> Se realiza únicamente en el inicio de la ruta,  controlando la actividad de la hexoquina-sa/glucoquinasa.  2=> El glucagón inhibe la piruvato quinasa.  3=> La insulina activa la síntesis de fructosa-2,6- bisfosfato.  4=> La insulina inhibe la fosfofructoquinasa-1=>   "
2022,165,3,"165. Los valores de pKa del ácido aspártico son 2,1;  3,9 y 9,8. Su punto isoeléctrico (pI) es:    1=> 7,0.  2=> 5,3=>  3=> 3,0.  4=> 3,9.   "
2022,166,2,166. Las proteínas destinadas a ser secretadas se  sintetizan en:    1=> Los polisomas libres.  2=> El retículo endoplásmico rugoso.  3=> El aparato de Golgi.  4=> El retículo endoplásmico liso.   
2022,167,4,167. El escualeno es  un precursor de:    1=> Esfingosina.  2=> Prostaglandinas.  3=> Ácido araquidónico.  4=> Colesterol.   
2022,168,1,168. Cada ciclo de oxidación de los ácidos grasos:    1=> Libera una molécula de acetil-CoA.  2=> Consume dos moléculas de NADH.  3=> Genera dos moléculas de FADH 2  4=> Produce una deshidratación.   
2022,169,2,169. La lanzadera malato-aspartato:    1=> Permite la regeneración del NADH citosólico  necesario para la glucolisis.  2=> Sirve para pasar los electrones del NADH del  citosol a la mitocondria.  3=> Transfiere los electrone s del NADH al citrato 4=> Es un complejo transportador de electrones.           
2022,170,3, 170. Con respecto a la constante de Michaelis- Menten (K m):    1=> Se expresa en unidades de velocidad.  2=> Un valor alto de K m se puede relacionar con  gran estabilidad del complejo enzima- sustrato.   3=> Equivale a la concentración de sustrato que se  requiere para alcanzar la mitad de la veloci- dad máxima.  4=> Se mantiene constante para las enzimas de  una misma clase.    
2022,171,1,171=> ¿Qué longitud de on da sería fuertemente ab- sorbida por una soluci ón de color rojo?:    1=> 450 nm.  2=> 585 nm.  3=> 600 nm.  4=> 650 nm.   
2022,172,4,172=> ¿Cuál de los siguientes procesos bioquímicos  está promovido por la insulina?:    1=> Glucogenolisis.  2=> Gluconeogénesis.  3=> Lipolisis.  4=> Captación de glucosa por las células.   
2022,173,2,173=> El movimiento electro forético de las proteínas  hacia el ánodo disminuy e cuando se aumenta:    1=> El pH del tampón.  2=> La fuerza iónica del tampón.  3=> La intensidad de la corriente.  4=> El voltaje.    
2022,174,3,174=> Las endonucleasas de restricción:    1=> Hidrolizan enlaces fos foéster comenzando  por los extremos 5´ del DNA.  2=> Se utilizan para la formación de moléculas  híbridas mediante recombinación.  3=> Reconocen y cortan el DNA en secuencias  específicas.  4=> Reconocen y cortan el DNA en secuencias  libres de nucleosomas.   
2022,175,2,175. Las enzimas alteran:    1=> Las velocidades de reacci ón y los equilibrios.  2=> Las velocidades de reacción pero no los equi- librios.  3=> Únicamente los equilib rios de la reacción.  4=> La afinidad por los sustratos.                           
2022,176,2, 176. La reacción en cadena  de la polimerasa permi- te:   1=> Cartografiar e identificar los genes de un ge- noma.  2=> Amplificar secuencias de DNA específicas.  3=> Conocer la topología de secuencias de DNA  específicas.  4=> Localizar estructuras e n secuencias de RNA.   
2022,177,3,177. Las topoisomerasas son enzimas:    1=> Que desnaturalizan la estructura en doble  hélice del DNA.  2=> Que permiten la hibridación entre dos isóme- ros topológicos del DNA.  3=> Que aumentan o disminuyen el grado de des- enrollamiento  del DNA.  4=> Que tienen actividad helicasa-primasa.   
2022,178,4,178. La actividad de corrección de pruebas de la  DNA polimerasa I procariótica es una activi-dad:    1=> Polimerizante 5´-3´.  2=> Transesterificadora 5´-3´.  3=> Exonucleasa 5´-3´.  4=> Exonucleasa 3´-5´.   
2022,179,3,179. Sobre la vitamina B 12:    1=> También es conocida como piridoxina o piri- doxal.  2=> Participa en reacciones de carboxilación.  3=> Su actividad está ligada a la del ácido fólico.  4=> Contiene manganeso en su estructura.   
2022,180,2,180. ¿Cuál de los siguientes aminoácidos se abrevia  con una E en la nomencl atura de una letra?:    1=> Ácido aspártico.  2=> Ácido glutámico.  3=> Asparragina.  4=> Glutamina.   
